Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
7,3885616,1666524
92,2954727,735635
184,3223682,1004590
284,2391318,172226
384,3174756,955664
484,2321314,102222
586,2088121,0
688,2733058,513966
788,3798203,1579111
888,3173480,954388
995,2086417,0
1094,2297437,78345
1194,3735233,1516141
1294,4454922,2235830
1391,3888105,1669013
1491,4141707,1922615
1593,4493807,2274715
1695,3246900,1027808
1799,4941523,2722431
1898,3063960,844868
2011,4145318,1926226
2097,3339499,1120407
2202,2647767,428675
2304,3606179,1387087
2397,2571898,352806
2501,2181430,0
2597,2564647,345555
2697,2336270,117178
2800,2503466,284374
2899,2800920,581828
2998,2430691,211599
3108,2647126,428034
3205,2520143,301051
3306,2789663,570571
3405,2649692,430600
3505,2254800,35708
3605,1886579,0
3706,1897495,0
3805,1086125,0
3909,894757,0
4007,1791283,0
4105,1376890,0
4205,719656,0
4308,642585,0
4410,2396706,177614
4511,2810686,591594
4615,1827928,0
4709,1585394,0
4812,1924984,0
4912,1991781,0
5014,1898570,0
5115,2034802,0
5214,1583086,0
5321,1403834,0
5415,1525725,0
5518,1403834,0
5616,2307265,88173
5713,2013292,0
5814,918004,0
5913,906079,0
6016,569084,0
6114,726826,0
6216,913249,0
6316,730109,0
6416,934759,0
6517,719656,0
6616,963439,0
6719,438147,0
6818,1716299,0
6918,1372135,0
7021,394246,0
7119,1262594,0
7220,983626,0
7323,400020,0
7421,1074878,0
7521,1340436,0
7625,2084993,0
7730,1552446,0
7828,1419307,0
7929,1554406,0
8027,1045329,0
8140,457381,0
8231,878002,0
8326,625577,0
8426,1161639,0
8527,1138540,0
8627,1664298,0
8728,1267602,0
8828,1174391,0
8929,1254998,0
9029,820038,0
9130,630450,0
9231,695281,0
9332,745151,0
9432,710242,0
9532,951133,0
9634,835098,0
9733,777017,0
9833,1081444,0
9933,705255,0
10037,374416,0
10135,1852531,0
10241,1634410,0
10342,1868385,0
10443,1258927,0
10542,1242439,0
10642,1423840,0
10740,1144206,0
10856,710851,0
10943,1256848,0
11041,844566,0
11155,441720,0
11245,1088349,0
11343,693994,0
11447,940109,0
11548,1009478,0
11654,672484,0
11744,894757,0
11844,833509,0
11944,1029475,0
12053,1080046,0
12146,1501196,0
12246,1234707,0
12348,1101080,0
12448,652107,0
12550,486535,0
12649,763022,0
12754,890796,0
12850,981666,0
12950,824189,0
13053,472943,0
13153,676636,0
