datetime,cpu,mem
Fri Oct 28 17:38:01 GMT 2022,0,1321522
Fri Oct 28 17:38:02 GMT 2022,6.7,1414662
Fri Oct 28 17:38:04 GMT 2022,6.7,1231792
Fri Oct 28 17:38:07 GMT 2022,6.7,1256244
Fri Oct 28 17:38:11 GMT 2022,0.4,1282061
Fri Oct 28 17:38:14 GMT 2022,0.4,1312635
Fri Oct 28 17:38:17 GMT 2022,81,1323090
Fri Oct 28 17:38:20 GMT 2022,81,1379059
Fri Oct 28 17:38:23 GMT 2022,85,1404191
Fri Oct 28 17:38:27 GMT 2022,85,1411867
Fri Oct 28 17:38:31 GMT 2022,96,1416423
Fri Oct 28 17:38:35 GMT 2022,96,1421521
Fri Oct 28 17:38:38 GMT 2022,85,1420881
Fri Oct 28 17:38:41 GMT 2022,85,1406831
Fri Oct 28 17:38:44 GMT 2022,0,1409913
Fri Oct 28 17:38:47 GMT 2022,0,1409929
Fri Oct 28 17:38:49 GMT 2022,44,1403759
Fri Oct 28 17:38:52 GMT 2022,44,1389025
Fri Oct 28 17:38:55 GMT 2022,45,1389065
Fri Oct 28 17:38:58 GMT 2022,45,1386653
Fri Oct 28 17:39:00 GMT 2022,45,1388681
Fri Oct 28 17:39:03 GMT 2022,45,1391817
Fri Oct 28 17:39:06 GMT 2022,44,1387289
Fri Oct 28 17:39:09 GMT 2022,44,1389009
Fri Oct 28 17:39:11 GMT 2022,45,1389835
Fri Oct 28 17:39:14 GMT 2022,45,1371547
