Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
38,2295370,0
119,2280681,0
220,2578057,0
323,2811410,183444
427,2726766,98800
521,2608439,0
623,1968767,0
725,1803855,0
828,2234060,0
925,1918576,0
1025,2069148,0
1126,2635585,7619
1226,2026127,0
1329,2391802,0
1429,2893709,265743
1532,2585395,0
1630,2839367,211401
1733,3288064,660098
1830,3366935,738969
1929,3452976,825010
2030,2793328,165362
2132,3115982,488016
2249,2951070,323104
2333,3202023,574057
2442,2700116,72150
2539,3462296,834330
2631,2969032,341066
2731,3452976,825010
2842,3295234,667268
2938,2865028,237062
3040,3115982,488016
3148,3187683,559717
3245,3022771,394805
3358,3381275,753309
3441,3352595,724629
3559,2251468,0
3646,2470683,0
3759,2470683,0
3848,2195182,0
3957,2251468,0
4057,2251468,0
4149,2251468,0
4256,2251468,0
4352,2195182,0
4470,2195182,0
4553,2138895,0
4660,2195182,0
4752,2251468,0
4864,2251468,0
4961,2195182,0
5059,2251468,0
5163,2195182,0
5256,2251468,0
5359,2031950,0
5460,2138895,0
5571,2195182,0
5660,1970035,0
5764,2093865,0
5860,2195182,0
5957,2195182,0
6069,2195182,0
6162,2138895,0
6262,2251468,0
6361,2195182,0
6471,2251468,0
6564,2195182,0
6672,2183924,0
6765,2195182,0
6870,2251468,0
6989,2144524,0
7088,2251468,0
7182,2251468,0
7293,2195182,0
7376,2195182,0
7494,2155781,0
7579,2195182,0
7701,2251468,0
7786,2251468,0
7882,2251468,0
7992,2251468,0
8081,2195182,0
8182,2251468,0
8289,2251468,0
8390,2251468,0
8486,2251468,0
8550,2178296,0
8657,2251468,0
8748,2251468,0
8865,2474183,0
8952,2530469,0
9057,2200810,0
9147,2138895,0
9255,2251468,0
9348,2195182,0
9466,2195182,0
9550,2251468,0
9658,2251468,0
9764,2251468,0
9857,2251468,0
9959,2200810,0
10061,2195182,0
10185,2251468,0
10255,2195182,0
10358,2200810,0
10467,2251468,0
10565,2195182,0
10661,2195182,0
10768,2183924,0
10872,2200810,0
10959,2178296,0
11060,2093865,0
11160,2003807,0
11263,1930634,0
11362,1716744,0
11463,1632314,0
11567,2026321,0
11680,2195182,0
11777,2138895,0
11876,2195182,0
11970,2026321,0
12072,2110752,0
12183,2195182,0
12282,2183924,0
12382,2178296,0
12471,2144524,0
12570,834900,0
12667,592867,0
12767,722327,0
12868,1428721,0
12968,1418397,0
13068,1129459,0
13173,1523467,0
13270,1568496,0
13370,1721408,0
13476,1973749,0
13579,2457815,0
13676,2306780,0
13777,1709201,0
13877,1140705,0
13978,1410882,0
14079,1894947,0
14179,1484054,0
14279,2440929,0
14380,2232668,0
14477,1788003,0
14586,1371015,0
14681,1782374,0
14781,1923091,0
14882,1940917,0
14983,1541281,0
15084,1196992,0
15179,1469998,0
15281,1063795,0
15385,1641206,0
