datetime,cpu,mem
Fri Oct 28 22:53:00 GMT 2022,0,1213421
Fri Oct 28 22:53:01 GMT 2022,0.1,1212505
Fri Oct 28 22:53:02 GMT 2022,0.1,1170120
Fri Oct 28 22:53:04 GMT 2022,0.1,1199659
Fri Oct 28 22:53:05 GMT 2022,0.1,1200580
Fri Oct 28 22:53:07 GMT 2022,0.1,1226892
Fri Oct 28 22:53:09 GMT 2022,0.1,1228501
Fri Oct 28 22:53:11 GMT 2022,0.1,1232395
Fri Oct 28 22:53:14 GMT 2022,0.2,1229775
Fri Oct 28 22:53:16 GMT 2022,0.2,1234794
Fri Oct 28 22:53:18 GMT 2022,0.2,1225772
Fri Oct 28 22:53:21 GMT 2022,-4.7,1227026
Fri Oct 28 22:53:23 GMT 2022,-4.7,1228458
Fri Oct 28 22:53:25 GMT 2022,-4.7,1228703
Fri Oct 28 22:53:27 GMT 2022,0,1226309
Fri Oct 28 22:53:29 GMT 2022,0,1217061
Fri Oct 28 22:53:31 GMT 2022,0,1219711
Fri Oct 28 22:53:33 GMT 2022,33,1213450
Fri Oct 28 22:53:35 GMT 2022,33,1212637
Fri Oct 28 22:53:36 GMT 2022,33,1214231
Fri Oct 28 22:53:38 GMT 2022,35,1214333
Fri Oct 28 22:53:40 GMT 2022,35,1213149
Fri Oct 28 22:53:42 GMT 2022,35,1210559
Fri Oct 28 22:53:44 GMT 2022,32,1209685
Fri Oct 28 22:53:46 GMT 2022,32,1209937
Fri Oct 28 22:53:47 GMT 2022,32,1211739
Fri Oct 28 22:53:49 GMT 2022,31,1210865
Fri Oct 28 22:53:51 GMT 2022,31,1211353
Fri Oct 28 22:53:53 GMT 2022,31,1213071
Fri Oct 28 22:53:55 GMT 2022,21,1212453
Fri Oct 28 22:53:57 GMT 2022,21,1213333
Fri Oct 28 22:53:59 GMT 2022,21,1215765
Fri Oct 28 22:54:01 GMT 2022,0,1215685
Fri Oct 28 22:54:02 GMT 2022,0,1214837
Fri Oct 28 22:54:04 GMT 2022,0,1214343
Fri Oct 28 22:54:06 GMT 2022,0.1,1214603
Fri Oct 28 22:54:08 GMT 2022,0.1,1215987
Fri Oct 28 22:54:10 GMT 2022,0.1,1216513
Fri Oct 28 22:54:11 GMT 2022,33,1212173
Fri Oct 28 22:54:13 GMT 2022,33,1200192
