Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
18,1912892,478601
110,1819093,384802
160,1515237,80946
261,1509381,75090
362,1680185,245894
462,1491064,56773
563,1240358,0
663,1690631,256340
765,1077976,0
866,1577227,142936
965,1944610,510319
1073,2101269,666978
1175,2570482,1136191
1280,4137917,2703626
1368,4738062,3303771
1468,5229750,3795459
1569,3852943,2418652
1669,3025629,1591338
1774,2657306,1223015
1878,981942,0
1978,2645069,1210778
2070,2065969,631678
2171,1620092,185801
2272,1746661,312370
2375,1616746,182455
2473,1622368,188077
2573,2235189,800898
2674,2229551,795260
2775,2586587,1152296
2876,3199664,1765373
2975,3692047,2257756
3076,3372811,1938520
3182,2638585,1204294
3282,4117178,2682887
3380,4550555,3116264
3480,2684674,1250383
3582,2226511,792220
3689,2211098,776807
3781,2050092,615801
3887,1304927,0
3983,2424709,990418
4083,2758663,1324372
4183,2753588,1319297
4283,2173659,739368
4384,1396699,0
4485,2572247,1137956
4585,2265401,831110
4687,3391192,1956901
4793,3128557,1694266
4894,2565283,1130992
4998,3111464,1677173
5094,2839903,1405612
5197,2053198,618907
5296,2504914,1070623
5395,1520315,86024
5498,1534052,99761
5592,1540970,106679
5691,2413330,979039
5793,1757343,323052
5893,1756325,322034
5994,2471865,1037574
6098,1587354,153063
6195,3388952,1954661
6297,4066911,2632620
6396,3625975,2191684
6497,3001170,1566879
6604,2771249,1336958
6703,2796745,1362454
6803,3756961,2322670
6904,3527267,2092976
7006,1210277,0
7109,2352911,918620
7199,2265401,831110
7301,2643268,1208977
7402,1894356,460065
7502,1967131,532840
7602,1939992,505701
7703,2000834,566543
7803,2310222,875931
7903,2074683,640392
8004,1493905,59614
8104,1775080,340789
8205,1551266,116975
8307,626992,0
8408,692801,0
8509,645441,0
8609,1121483,0
8713,1439011,4720
8817,1202079,0
8910,1684345,250054
9010,1262105,0
9110,1257292,0
9211,1057603,0
9311,948978,0
9421,629893,0
9518,1242638,0
9617,1129304,0
9727,735926,0
9817,1466299,32008
9937,660067,0
10021,1478133,43842
10120,1430448,0
10223,1445375,11084
10320,1677831,243540
10436,1167021,0
10525,1764623,330332
10622,1947162,512871
10724,1036093,0
10827,1482787,48496
10927,2549709,1115418
11025,2858749,1424458
11127,2290093,855802
11227,2478266,1043975
11323,2117146,682855
11426,1985469,551178
11524,2249360,815069
11625,2121303,687012
11725,1683927,249636
11826,1452287,17996
11944,1192251,0
12037,1795453,361162
12128,2811034,1376743
12228,1787252,352961
12332,816011,0
12430,1061455,0
12531,545046,0
12632,775180,0
12733,810236,0
12832,966758,0
12936,765499,0
13033,1157985,0
13136,714841,0
13234,1264462,0
13337,1152932,0
13437,798527,0
13537,798527,0
13641,604942,0
13738,923702,0
13841,426514,0
13941,1033120,0
14042,805697,0
14146,393375,0
14246,456001,0
14348,444842,0
14445,1431281,0
14546,710242,0
14646,773489,0
14747,1166765,0
14848,1121181,0
14948,999290,0
15048,760821,0
15150,627540,0
15251,509732,0
15352,395272,0
15452,477803,0
15554,477803,0
15606,443017,0
15707,466269,0
15808,565107,0
15908,484617,0
16009,470439,0
16110,465528,0
16211,432566,0
16310,652047,0
16410,249906,0
16510,636416,0
16613,702844,0
16712,681642,0
16814,754027,0
16915,1560912,126621
17014,1647351,213060
17119,1351966,0
17216,794841,0
17317,845694,0
17416,739557,0
17518,730933,0
17618,687085,0
17722,722930,0
17820,808359,0
17921,711771,0
18022,875243,0
18122,739434,0
18223,698947,0
18325,715119,0
18425,731243,0
18524,828133,0
18625,915716,0
18727,663295,0
18837,1361576,0
18935,1222515,0
19033,590104,0
19133,1275492,0
19234,957222,0
19336,901983,0
19437,1071542,0
19540,936892,0
19642,872061,0
19738,971801,0
19839,1086503,0
19940,986762,0
20044,1001723,0
20145,931905,0
20241,971801,0
20342,1031645,0
20442,1036632,0
20543,1021671,0
20647,896996,0
20744,1031645,0
20844,976788,0
20947,671118,0
21044,1347193,0
21149,911957,0
21250,1176269,0
21346,1036093,0
21440,1337237,0
21541,898572,0
21643,872061,0
21743,844759,0
21843,960606,0
21947,701773,0
22044,882895,0
22145,926317,0
22246,653252,0
22347,746856,0
22448,739033,0
22548,690569,0
22649,603800,0
22750,764611,0
22850,729371,0
22950,473765,0
23055,1238567,0
23160,960415,0
23252,911957,0
23353,800945,0
23455,802388,0
23555,801022,0
23657,663307,0
23760,841531,0
23857,977022,0
23959,752057,0
24059,875690,0
24160,751993,0
24260,726925,0
24362,711771,0
24463,702795,0
24564,712887,0
24665,702844,0
24766,713212,0
24866,671820,0
24966,329607,0
25070,877713,0
25174,924564,0
25278,922719,0
25374,1179495,0
25477,1036093,0
25580,1217741,0
25681,1165155,0
25777,981775,0
25878,956840,0
25978,1021671,0
26082,966814,0
26182,996736,0
26280,926918,0
26383,1066555,0
26483,1028923,0
26587,1122134,0
26676,1080956,0
26776,934618,0
26877,707284,0
26983,643324,0
27087,1192847,0
27180,1000242,0
27281,837239,0
27381,761384,0
27482,706701,0
27583,711771,0
27686,755684,0
27786,725161,0
27884,1786113,351822
27984,1670658,236367
28086,1068626,0
28187,767334,0
28287,993325,0
28388,812217,0
28489,1113014,0
28587,2004990,570699
28688,1541808,107517
28791,1043049,0
28889,638369,0
28994,969402,0
29099,1360895,0
29191,1427226,0
29292,974661,0
29392,783313,0
29494,815673,0
29595,783704,0
29696,733824,0
29798,751013,0
29898,736645,0
30000,678295,0
30099,776886,0
30202,666643,0
30301,695707,0
30403,735463,0
30503,751993,0
30603,726073,0
30704,731049,0
30754,743563,0
30854,765449,0
30959,840372,0
31055,986221,0
31167,1023247,0
31263,1098120,0
31363,1179495,0
31465,995235,0
31565,1001723,0
31665,906970,0
31766,981775,0
31865,1170505,0
31965,1101698,0
32070,927900,0
32166,1244026,0
32270,872061,0
32373,1016684,0
32467,1157985,0
32562,1136991,0
32663,1292879,0
32765,947654,0
32864,2642333,1208042
32963,2790151,1355860
33064,1285435,0
33165,1006339,0
33265,782841,0
33365,839128,0
33483,773443,0
33574,981775,0
33674,1011697,0
33781,926918,0
33875,1056580,0
33975,1781783,347492
34075,1014583,0
34177,976788,0
34276,1221760,0
34382,1031645,0
34478,1141360,0
34580,961827,0
34682,835372,0
34781,1566819,132528
34880,1256029,0
34975,961827,0
35083,958270,0
35184,1011697,0
35288,1006710,0
35388,941879,0
35485,1063491,0
35588,858355,0
35689,733121,0
35789,996736,0
35890,822240,0
36003,914169,0
36099,1177057,0
36189,1456980,22689
36283,1136474,0
36385,909042,0
36485,918374,0
36585,776740,0
36686,596618,0
36791,568465,0
36891,1124531,0
36987,867074,0
37088,691107,0
37189,816141,0
37289,732553,0
37390,763496,0
37491,711771,0
37592,656600,0
37695,770912,0
37794,726277,0
37894,711771,0
37996,707307,0
38097,737740,0
38197,767863,0
38299,633167,0
38399,737732,0
38501,646557,0
38601,771307,0
38703,385526,0
38805,1361243,0
38907,1221760,0
39002,957628,0
39112,1026658,0
39210,1046606,0
39312,981602,0
39411,901983,0
39511,1056580,0
39612,929282,0
39721,832239,0
39814,1016684,0
39918,961827,0
40018,976788,0
40115,1056580,0
40217,799257,0
40322,891187,0
40420,991749,0
40517,1024418,0
40621,909098,0
40719,1018153,0
40818,1283098,0
40915,1000242,0
41014,1048036,0
41115,740072,0
41217,725541,0
41318,761713,0
41421,786207,0
41520,700563,0
41620,712936,0
41722,711771,0
41823,730741,0
41923,754569,0
42024,700612,0
42126,655484,0
42227,646557,0
42735,521140,0
44462,618289,0
46021,581196,0
47522,642692,0
48921,776732,0
50251,616886,0
51356,489083,0
52265,596101,0
52818,1090862,0
53224,645800,0
53430,1154559,0
53514,1522291,88000
53609,1763495,329204
53712,1579474,145183
53811,1509656,75365
53912,1459786,25495
54014,1297216,0
54113,1489708,55417
54213,1504669,70378
54312,2086149,651858
54415,949331,0
54513,1096553,0
54617,1756325,322034
54708,1569902,135611
54816,1777109,342818
54917,1524617,90326
55019,1389968,0
55120,1333756,0
55219,1424877,0
55320,1394955,0
55420,1021671,0
55521,971801,0
55623,1136991,0
55729,1000242,0
55815,1071943,0
55916,979648,0
56016,1426500,0
56121,1462699,28408
56223,1354073,0
56330,840710,0
56433,1100624,0
56519,1083668,0
56620,1033717,0
56721,796446,0
56822,885093,0
56921,842353,0
57025,741943,0
57124,668875,0
57225,717350,0
57325,1222327,0
57425,752057,0
57526,733405,0
57627,735793,0
57729,755233,0
57828,1002816,0
57931,837411,0
58032,1132462,0
58141,1041619,0
58237,966814,0
58338,1046606,0
58438,1075076,0
58539,1049151,0
58641,976788,0
58739,1279876,0
58833,828806,0
58935,742731,0
59036,715119,0
59138,711771,0
59239,688826,0
59341,727393,0
59440,821653,0
59542,880582,0
59644,764611,0
59742,644753,0
59847,1034612,0
59952,960101,0
60053,1272706,0
60150,1236856,0
60254,822191,0
60353,1071542,0
60453,926918,0
60553,1076529,0
60656,786124,0
60762,926918,0
60854,1308556,0
60960,867074,0
61056,1060366,0
61157,926918,0
61259,1208175,0
61352,855767,0
61453,852113,0
61552,443241,0
61658,1066615,0
61753,1186037,0
61854,1004325,0
61955,943255,0
62056,813876,0
62157,708978,0
62257,745642,0
62358,645603,0
62460,816004,0
62560,722833,0
62660,760148,0
62762,655484,0
62863,784697,0
62962,889625,0
63063,903034,0
63163,745513,0
63264,738265,0
63366,591720,0
63468,975038,0
63569,900580,0
63673,916944,0
63774,976788,0
63874,931905,0
63975,976788,0
64075,1011697,0
64176,1031645,0
64276,852113,0
64377,996736,0
64478,470208,0
64583,986762,0
64685,996736,0
64781,1082498,0
64881,1067857,0
64987,1026658,0
65086,1136104,0
65185,1014005,0
65286,1537999,103708
65384,1227907,0
65485,1064773,0
65586,1036093,0
65689,868204,0
65789,971801,0
65888,1151334,0
65989,971801,0
66090,976788,0
66191,1015255,0
66291,388986,0
66396,1066555,0
66496,1051593,0
66603,1160610,0
66692,1229685,0
66797,1332006,0
66887,1030046,0
66989,759859,0
67088,1189800,0
67189,1138762,0
67289,812217,0
67391,878526,0
67493,758225,0
67594,716234,0
67695,702844,0
67795,773588,0
67898,690847,0
67997,732251,0
68099,710655,0
68199,701728,0
68299,703960,0
68349,736207,0
68451,798560,0
68550,724341,0
68651,659948,0
68752,731037,0
68852,519083,0
68956,789702,0
69059,1186538,0
69162,1007413,0
69263,1187132,0
69361,1157985,0
69461,1043263,0
69566,1136474,0
69656,872061,0
69757,1023743,0
69857,1048182,0
69957,550183,0
70059,703731,0
70160,737646,0
70261,706192,0
,,
