datetime,cpu,mem
Fri Oct 28 23:10:45 GMT 2022,49,1243285
Fri Oct 28 23:10:48 GMT 2022,0,1419979
Fri Oct 28 23:10:50 GMT 2022,0,1210048
Fri Oct 28 23:10:54 GMT 2022,0.1,1147429
Fri Oct 28 23:10:57 GMT 2022,0.1,1173724
Fri Oct 28 23:10:59 GMT 2022,0,1186945
Fri Oct 28 23:11:01 GMT 2022,0,1218177
Fri Oct 28 23:11:05 GMT 2022,0.1,1248469
Fri Oct 28 23:11:08 GMT 2022,0.1,1235938
Fri Oct 28 23:11:10 GMT 2022,0,1224160
Fri Oct 28 23:11:12 GMT 2022,0,1219796
Fri Oct 28 23:11:15 GMT 2022,0,1219910
Fri Oct 28 23:11:18 GMT 2022,40,1219876
Fri Oct 28 23:11:19 GMT 2022,40,1217720
Fri Oct 28 23:11:21 GMT 2022,40,1218950
Fri Oct 28 23:11:23 GMT 2022,0,1215220
Fri Oct 28 23:11:25 GMT 2022,0,1216720
Fri Oct 28 23:11:27 GMT 2022,0,1216750
Fri Oct 28 23:11:29 GMT 2022,0.1,1215256
Fri Oct 28 23:11:31 GMT 2022,0.1,1215340
Fri Oct 28 23:11:33 GMT 2022,0.1,1216854
Fri Oct 28 23:11:35 GMT 2022,0,1215682
Fri Oct 28 23:11:37 GMT 2022,0,1214986
Fri Oct 28 23:11:38 GMT 2022,0,1216830
Fri Oct 28 23:11:40 GMT 2022,32,1218764
Fri Oct 28 23:11:42 GMT 2022,32,1217676
Fri Oct 28 23:11:44 GMT 2022,32,1218642
Fri Oct 28 23:11:46 GMT 2022,0.1,1217092
Fri Oct 28 23:11:48 GMT 2022,0.1,1217332
Fri Oct 28 23:11:50 GMT 2022,0.1,1218914
Fri Oct 28 23:11:52 GMT 2022,0,1213680
Fri Oct 28 23:11:54 GMT 2022,0,1213928
Fri Oct 28 23:11:56 GMT 2022,0,1217706
Fri Oct 28 23:11:58 GMT 2022,32,1217756
Fri Oct 28 23:11:59 GMT 2022,32,1200788
