Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
39,5061858,1845264
132,4724100,1507506
235,2809819,0
339,3504514,287920
402,4548868,1332274
488,3213233,0
589,3083087,0
691,4205936,989342
790,2759226,0
890,3105440,0
990,3376903,160309
1094,2874191,0
1193,4423640,1207046
1292,2664458,0
1391,2846972,0
1492,4404778,1188184
1595,3079382,0
1693,2390930,0
1797,2533944,0
1894,3563196,346602
1997,2913553,0
2095,2825682,0
2196,2480864,0
2298,2350272,0
2410,3358808,142214
2494,3899358,682764
2598,3134729,0
2703,2989939,0
2802,3331085,114491
2906,3292213,75619
3006,3309574,92980
3105,3101642,0
3201,1673685,0
3303,1487262,0
3402,1243479,0
3503,900423,0
3602,1373649,0
3704,900974,0
3803,1459690,0
3917,753839,0
4004,1618624,0
4105,1510972,0
4209,866077,0
4305,1454670,0
4409,993962,0
4506,1187226,0
4619,889288,0
4713,1339398,0
4811,3381275,164681
4924,3302404,85810
5012,3452976,236382
5118,3452976,236382
5213,3524677,308083
5312,3381275,164681
5415,3309574,92980
5525,3359765,143171
5627,2523502,0
5741,2195182,0
5822,2195182,0
5922,2195182,0
6020,2195182,0
6116,2138895,0
6221,2195182,0
6325,2251468,0
6417,2183924,0
6522,2116380,0
6620,2195182,0
6724,1829318,0
6829,1981292,0
6926,1857461,0
7026,2082608,0
7129,2031950,0
7232,2026321,0
7329,2167038,0
7428,1778660,0
7531,1857461,0
7627,2043207,0
7733,2195182,0
7830,2155781,0
7935,1947520,0
8036,2082608,0
8133,1030046,0
8250,1103219,0
8341,2183924,0
8438,2200810,0
8540,2122009,0
8643,2088237,0
8738,1919377,0
8839,1688601,0
8941,1868719,0
9039,1632314,0
9147,1621057,0
9243,1879976,0
9342,1908119,0
9447,1587285,0
9547,1829318,0
9647,1097591,0
9739,1212021,0
9844,1215765,0
9943,2145904,0
10043,2298278,0
10144,2135840,0
10245,2277697,0
10346,2654818,0
10454,2457815,0
10547,1968120,0
10652,1883690,0
10755,2294583,0
10846,2795535,0
10955,2581645,0
11052,2384642,0
11154,2553502,0
11269,2795535,0
11353,2739248,0
11454,2682961,0
11561,2660447,0
11656,2739248,0
11756,2542245,0
11864,2722362,0
11961,2547873,0
12062,2519730,0
12161,1742973,0
12262,2001892,0
12361,1613514,0
12463,1236393,0
12560,2238296,0
12663,2363067,0
12763,2440929,0
12869,1187615,0
12968,1264536,0
13065,1472797,0
13164,837216,0
13275,1526743,0
13364,1780501,0
13464,515462,0
13571,842872,0
13668,1431544,0
13770,849929,0
13871,1035675,0
13970,951245,0
14071,799271,0
14171,923102,0
14282,906216,0
14376,923102,0
14477,776756,0
14583,883701,0
14677,1221421,0
14778,1148249,0
14875,985017,0
14982,793642,0
15081,1030046,0
15178,1091962,0
15280,906216,0
15380,1086333,0
15480,939988,0
15580,900587,0
15681,939988,0
15786,979388,0
15881,1339623,0
15986,979388,0
16084,1091962,0
16184,1120105,0
16284,855558,0
16390,1091962,0
16490,1091962,0
16594,1215793,0
16683,776754,0
16784,546898,0
16886,551577,0
16986,522913,0
17087,529632,0
17187,469692,0
17238,687771,0
17341,1680129,0
17438,746242,0
17539,715229,0
17639,533693,0
17740,412482,0
17842,504584,0
17944,942540,0
18043,845594,0
18143,729542,0
18242,764070,0
18343,581748,0
18444,531916,0
18544,557627,0
18644,656785,0
18744,1002820,0
18845,727015,0
18946,690294,0
19047,725203,0
19150,650398,0
19248,1019706,0
19349,522028,0
19449,526699,0
19549,490766,0
19651,606117,0
19752,448190,0
