datetime,cpu,mem
Sat Oct 29 00:29:27 GMT 2022,45,1390125
Sat Oct 29 00:29:29 GMT 2022,0,1201395
Sat Oct 29 00:29:30 GMT 2022,0,1108796
Sat Oct 29 00:29:32 GMT 2022,0,1143012
Sat Oct 29 00:29:35 GMT 2022,0.1,1161609
Sat Oct 29 00:29:37 GMT 2022,0.1,1177998
Sat Oct 29 00:29:40 GMT 2022,0.1,1217611
Sat Oct 29 00:29:43 GMT 2022,84,1216263
Sat Oct 29 00:29:46 GMT 2022,84,1213050
Sat Oct 29 00:29:49 GMT 2022,93,1214910
Sat Oct 29 00:29:52 GMT 2022,93,1199752
Sat Oct 29 00:29:55 GMT 2022,92,1206434
Sat Oct 29 00:29:58 GMT 2022,92,1203030
Sat Oct 29 00:30:01 GMT 2022,93,1211426
Sat Oct 29 00:30:04 GMT 2022,93,1213356
Sat Oct 29 00:30:07 GMT 2022,93,1215826
Sat Oct 29 00:30:10 GMT 2022,93,1219116
Sat Oct 29 00:30:13 GMT 2022,92,1222762
Sat Oct 29 00:30:16 GMT 2022,92,1226090
Sat Oct 29 00:30:20 GMT 2022,92,1226064
Sat Oct 29 00:30:23 GMT 2022,92,1232036
Sat Oct 29 00:30:26 GMT 2022,91,1217420
Sat Oct 29 00:30:29 GMT 2022,91,1227124
Sat Oct 29 00:30:32 GMT 2022,89,1223458
Sat Oct 29 00:30:35 GMT 2022,89,1233466
Sat Oct 29 00:30:38 GMT 2022,90,1233199
Sat Oct 29 00:30:42 GMT 2022,90,1220325
