Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
61,3462807,1471390
145,4928216,2936799
199,6458367,4466950
298,5033515,3042098
395,3259113,1267696
496,2685419,694002
596,2537951,546534
698,2820774,829357
797,3947198,1955781
899,3097881,1106464
998,2359927,368510
1099,2110845,119428
1201,2648036,656619
1307,5058116,3066699
1400,3947860,1956443
1503,3696083,1704666
1597,4446746,2455329
1701,3643726,1652309
1802,3516188,1524771
1902,2175915,184498
2004,1615788,0
2105,2279593,288176
2205,1705807,0
2304,2279593,288176
2404,2083571,92154
2505,2451309,459892
2608,2789068,797651
2702,3228640,1237223
2802,3030320,1038903
2902,2544380,552963
3006,3389608,1398191
3106,2343210,351793
3208,3103932,1112515
3312,2625739,634322
3414,3313817,1322400
3512,3026100,1034683
3614,2457139,465722
3717,2796720,805303
3818,1784244,0
3910,2364471,373054
4011,1346095,0
4117,1286318,0
4219,1748247,0
4312,2869678,878261
4412,3231663,1240246
4513,2319569,328152
4612,1914912,0
4713,2006979,15562
4814,2032437,41020
4915,1190265,0
5014,2015760,24343
5120,1474453,0
5220,2509030,517613
5319,1477049,0
5422,1079675,0
5521,1373649,0
5623,1251757,0
5722,1534409,0
5825,728340,0
5922,1387989,0
6041,720271,0
6136,1793631,0
6226,1728002,0
6327,1763133,0
6430,1134389,0
6529,1868385,0
6632,2334442,343025
6731,2104999,113582
6830,2592565,601148
6932,2241230,249813
7029,2047638,56221
7133,2047638,56221
7233,1653283,0
7334,2315950,324533
7434,2155189,163772
7534,2234060,242643
7645,2943900,952483
7749,2965410,973993
7840,2298591,307174
7940,2657096,665679
8046,2277081,285664
8141,2413313,421896
8246,1932916,0
8342,1438180,0
8443,2029750,38333
8548,2742268,750851
8647,2562906,571489
8745,2410110,418693
8845,1968767,0
8947,2029146,37729
9047,2277081,285664
9152,2506524,515107
9244,2671436,680019
9352,2910877,919460
9445,2335723,344306
9548,2628415,636998
9651,2204925,213508
9753,2121224,129807
9859,1600370,0
9961,2575596,584179
10058,2890137,898720
10155,2477290,485873
10272,2449646,458229
10360,2391502,400085
10468,2447789,456372
10577,2459046,467629
10662,2447789,456372
10763,2504076,512659
10865,2504076,512659
10971,2447789,456372
11068,2570326,578909
11168,2514040,522623
11265,2446496,455079
11370,2243863,252446
11466,2131290,139873
11578,2082608,91191
11680,2251468,260051
11785,2251468,260051
11871,2251468,260051
11984,2144524,153107
12071,2195182,203765
12179,2138895,147478
12272,1891233,0
12376,1970035,0
12488,2480584,489167
12583,2202713,211296
12677,2230856,239439
12789,2208342,216925
12878,2472889,481472
12989,2135169,143752
13082,2022595,31178
13186,2152055,160638
13232,2540433,549016
13333,2129540,138123
13436,2206592,215175
13528,2229107,237690
13641,2127791,136374
13734,2234735,243318
13834,2200963,209546
13945,2172820,181403
14035,2341680,350263
14145,1992702,1285
14242,2285393,293976
14346,2155934,164517
14442,2263335,271918
14552,2077589,86172
14647,2122618,131201
14751,2184534,193117
14852,2100104,108687
14949,2010045,18628
15047,2308364,316947
15153,2077589,86172
15257,2162019,170602
15358,2218306,226889
15459,2070668,79251
15561,2177613,186196
15661,2273300,281883
15775,2408388,416971
15867,2560362,568945
15980,2340844,349427
16066,2504076,512659
16164,2138212,146795
16268,2166355,174938
16366,2042524,51107
16473,2020846,29429
16566,2094019,102602
16679,2139048,147631
16768,2043361,51944
16876,2139048,147631
16968,1840728,0
17072,1981445,0
17170,1587285,0
17278,2009435,18018
17374,1879976,0
17473,1711116,0
17572,1789917,0
17680,1891233,0
17780,1902491,0
17872,2060703,69286
17978,2167648,176231
18081,2060703,69286
18178,2111361,119944
