datetime,cpu,mem
Fri Oct 28 23:20:52 GMT 2022,0.2,1325866
Fri Oct 28 23:20:54 GMT 2022,0.2,1473645
Fri Oct 28 23:20:56 GMT 2022,0.1,1217087
Fri Oct 28 23:20:59 GMT 2022,0.1,1261592
Fri Oct 28 23:21:03 GMT 2022,0.1,1284488
Fri Oct 28 23:21:07 GMT 2022,0.1,1321177
Fri Oct 28 23:21:11 GMT 2022,97,1330665
Fri Oct 28 23:21:14 GMT 2022,97,1326612
Fri Oct 28 23:21:16 GMT 2022,0,1331588
Fri Oct 28 23:21:19 GMT 2022,0,1326056
Fri Oct 28 23:21:21 GMT 2022,0,1332887
Fri Oct 28 23:21:23 GMT 2022,48,1329866
Fri Oct 28 23:21:26 GMT 2022,48,1327608
Fri Oct 28 23:21:28 GMT 2022,48,1325061
Fri Oct 28 23:21:30 GMT 2022,49,1330226
Fri Oct 28 23:21:33 GMT 2022,49,1334940
Fri Oct 28 23:21:35 GMT 2022,49,1335485
Fri Oct 28 23:21:38 GMT 2022,49,1338196
Fri Oct 28 23:21:40 GMT 2022,49,1342328
Fri Oct 28 23:21:42 GMT 2022,49,1341417
Fri Oct 28 23:21:45 GMT 2022,48,1342590
Fri Oct 28 23:21:47 GMT 2022,48,1342206
Fri Oct 28 23:21:49 GMT 2022,48,1346153
Fri Oct 28 23:21:52 GMT 2022,49,1345170
Fri Oct 28 23:21:54 GMT 2022,49,1351042
Fri Oct 28 23:21:56 GMT 2022,49,1353711
Fri Oct 28 23:21:59 GMT 2022,48,1352994
Fri Oct 28 23:22:01 GMT 2022,48,1356462
Fri Oct 28 23:22:03 GMT 2022,48,1364315
Fri Oct 28 23:22:06 GMT 2022,51,1347273
