datetime,cpu,mem
Fri Oct 28 23:46:17 GMT 2022,0.1,1173744
Fri Oct 28 23:46:18 GMT 2022,0,1173017
Fri Oct 28 23:46:20 GMT 2022,0,1122042
Fri Oct 28 23:46:21 GMT 2022,0,1159725
Fri Oct 28 23:46:22 GMT 2022,0,1182899
Fri Oct 28 23:46:24 GMT 2022,0.1,1209938
Fri Oct 28 23:46:26 GMT 2022,0.1,1224783
Fri Oct 28 23:46:29 GMT 2022,0.1,1224832
Fri Oct 28 23:46:32 GMT 2022,0.1,1227652
Fri Oct 28 23:46:34 GMT 2022,0.1,1226160
Fri Oct 28 23:46:36 GMT 2022,0.1,1233760
Fri Oct 28 23:46:39 GMT 2022,0,1219536
Fri Oct 28 23:46:41 GMT 2022,0,1219414
Fri Oct 28 23:46:43 GMT 2022,0,1212624
Fri Oct 28 23:46:46 GMT 2022,61,1210493
Fri Oct 28 23:46:48 GMT 2022,61,1210229
Fri Oct 28 23:46:50 GMT 2022,61,1212873
Fri Oct 28 23:46:52 GMT 2022,0,1211529
Fri Oct 28 23:46:53 GMT 2022,0,1210485
Fri Oct 28 23:46:55 GMT 2022,0,1212778
Fri Oct 28 23:46:57 GMT 2022,33,1212853
Fri Oct 28 23:46:59 GMT 2022,33,1211829
Fri Oct 28 23:47:01 GMT 2022,33,1209516
Fri Oct 28 23:47:02 GMT 2022,33,1203513
Fri Oct 28 23:47:04 GMT 2022,33,1203545
Fri Oct 28 23:47:07 GMT 2022,33,1205348
Fri Oct 28 23:47:08 GMT 2022,50,1204445
Fri Oct 28 23:47:10 GMT 2022,50,1204829
Fri Oct 28 23:47:12 GMT 2022,50,1206540
Fri Oct 28 23:47:14 GMT 2022,17,1205601
Fri Oct 28 23:47:16 GMT 2022,17,1205977
Fri Oct 28 23:47:18 GMT 2022,17,1208008
Fri Oct 28 23:47:20 GMT 2022,18,1207745
Fri Oct 28 23:47:22 GMT 2022,18,1208273
Fri Oct 28 23:47:23 GMT 2022,18,1209777
Fri Oct 28 23:47:25 GMT 2022,18,1210256
Fri Oct 28 23:47:27 GMT 2022,28,1207357
Fri Oct 28 23:47:29 GMT 2022,28,1207895
Fri Oct 28 23:47:30 GMT 2022,28,1195292
