Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
4,1498201,0
91,1606841,0
192,1919975,256095
292,1462351,0
393,851391,0
493,1528351,0
593,1399942,0
696,1432847,0
794,2298885,635005
895,2109128,445248
996,1582568,0
1097,2462124,798244
1201,3050880,1387000
1300,4821165,3157285
1399,5356592,3692712
1500,4437471,2773591
1600,3182886,1519006
1701,2602858,938978
1802,2069112,405232
1910,3253050,1589170
2003,3212677,1548797
2104,3545666,1881786
2203,2996403,1332523
2305,4510979,2847099
2406,3631413,1967533
2507,3575437,1911557
2612,2373426,709546
2714,3374085,1710205
2816,3302998,1639118
2914,3424104,1760224
3013,2825063,1161183
3113,2434612,770732
3214,2776558,1112678
3315,2768827,1104947
3416,1976760,312880
3518,2824726,1160846
3611,3525008,1861128
3713,3178088,1514208
3818,1638357,0
3912,2658082,994202
4013,1711762,47882
4112,3016254,1352374
4214,2713622,1049742
4314,2867878,1203998
4414,1830413,166533
4514,2870727,1206847
4620,2609717,945837
4717,1565606,0
4818,1437618,0
4917,1651647,0
5019,948978,0
5119,790820,0
5220,770572,0
5320,1016421,0
5423,853429,0
5521,1658817,0
5622,1595360,0
5722,2499259,835379
5822,2409529,745649
5930,1631071,0
6027,1879529,215649
6132,1309534,0
6235,1132010,0
6334,1287514,0
6435,1631211,0
6536,2159650,495770
6636,1494979,0
6730,1365917,0
6831,899068,0
6932,936892,0
7032,828277,0
7134,705105,0
7236,766243,0
7335,725161,0
7437,845694,0
7540,1067984,0
7637,1394598,0
7737,1086333,0
7837,1047687,0
7938,883319,0
8043,1047411,0
8145,916796,0
8240,1165155,0
8340,1179495,0
8440,1164081,0
8541,1422204,0
8643,648166,0
8745,707258,0
8844,746363,0
8945,736320,0
9050,661064,0
9150,762380,0
9251,688338,0
9351,780283,0
9452,863976,0
9551,1450884,0
9652,1271632,0
9752,1136474,0
9853,1334084,0
9953,1419469,0
10054,1589662,0
10154,1065032,0
10254,1583546,0
10357,1329292,0
10456,1691097,27217
10556,877717,0
10657,1133222,0
10757,1158452,0
10878,705427,0
10967,1263527,0
11065,1093921,0
11182,660067,0
11269,1244026,0
11361,1270488,0
11463,660067,0
11562,1243936,0
11662,878351,0
11764,1151282,0
11863,1365778,0
11964,949654,0
12065,1709008,45128
12165,964859,0
12266,1096713,0
12368,787226,0
12467,869145,0
12569,724522,0
12668,1075891,0
12770,815076,0
12869,1270558,0
12972,704574,0
13070,1166089,0
13172,990457,0
13272,943349,0
13371,1027849,0
13473,764110,0
13572,1056529,0
13677,613081,0
13773,963922,0
13874,1342537,0
13978,626992,0
14076,839695,0
14176,1148249,0
14277,986370,0
14405,681642,0
14439,1300944,0
14535,1394598,0
14635,1021753,0
14736,1075076,0
14842,1066555,0
14936,1782250,118370
15036,1585575,0
15142,926918,0
15239,986762,0
15339,936892,0
15442,1066555,0
15543,1046606,0
15642,856369,0
15741,1326467,0
15841,1287046,0
15943,976788,0
16044,872061,0
16144,1091490,0
16245,986762,0
16345,981775,0
16449,991749,0
16545,1143644,0
16650,926918,0
16750,939920,0
16848,1061568,0
16953,797598,0
17052,845222,0
17153,850133,0
17265,742179,0
17357,1196217,0
17452,986762,0
17555,698872,0
17653,1046137,0
17756,1101230,0
17859,1050433,0
17948,1016684,0
18049,879907,0
18150,923361,0
18251,777685,0
18353,764181,0
18451,1042686,0
18552,904644,0
18654,799572,0
18754,710287,0
18857,708374,0
18957,746757,0
19057,854053,0
19157,708667,0
19258,871428,0
19358,875741,0
19460,759052,0
19559,669316,0
19663,345835,0
19768,1282029,0
19867,976788,0
19969,931159,0
20075,848294,0
20172,830610,0
20277,966210,0
20372,1066555,0
20473,991749,0
20573,955411,0
20677,535039,0
20772,1143644,0
20876,1162010,0
20978,1188031,0
21068,948938,0
21168,2133117,469237
21269,920297,0
21370,992537,0
21470,1243936,0
21569,1515415,0
21671,987310,0
21771,1026658,0
21871,887022,0
21973,809579,0
22072,881846,0
22175,884830,0
22275,679507,0
22378,753887,0
22478,695794,0
22576,744082,0
22678,690569,0
22781,743015,0
22882,687085,0
22983,700148,0
23084,701890,0
23183,667759,0
23285,738848,0
23387,649905,0
23486,787951,0
23590,613771,0
23690,1223862,0
23789,1274228,0
23888,1208643,0
23989,1215171,0
24090,883465,0
24191,958270,0
24292,862110,0
24392,823650,0
24493,842992,0
24593,887293,0
24696,763716,0
24796,744735,0
24896,779203,0
24996,660067,0
25098,796263,0
25200,638746,0
25299,757916,0
25400,720698,0
25501,548320,0
25604,803370,0
25707,1565473,0
25801,1149282,0
25903,850952,0
26002,2011693,347813
26104,1515415,0
26205,956874,0
26307,873491,0
26405,1013273,0
26505,841466,0
26607,728471,0
26707,797353,0
26808,700563,0
26910,698406,0
27010,721814,0
27111,783581,0
27212,801965,0
27312,698947,0
27419,788923,0
27516,997028,0
27616,1229275,0
27721,1279556,0
27817,977576,0
27924,1033075,0
28031,1066555,0
28125,1061568,0
28226,961827,0
28327,986762,0
28427,1026658,0
28528,498700,0
28632,1016684,0
28729,906970,0
28830,1111438,0
28930,872061,0
29030,1011697,0
29135,1041619,0
29236,1091490,0
29330,1479565,0
29425,1363703,0
29529,1377165,0
29636,1086284,0
29684,993072,0
29783,1294216,0
29884,966814,0
29990,1066555,0
30085,1081516,0
30186,1010009,0
30288,825523,0
30387,920502,0
30493,515091,0
30595,1227398,0
30687,1251196,0
30784,1068130,0
30891,782841,0
30997,891187,0
31094,1046606,0
31195,986762,0
31302,1171282,0
31389,1062297,0
31490,1402834,0
31592,1157985,0
31694,1011697,0
31794,976788,0
31898,1031645,0
31992,2893147,1229267
32093,1588190,0
32195,1064773,0
32302,1042511,0
32399,329730,0
32498,996736,0
32598,976788,0
32703,986762,0
32802,1335009,0
32898,1100624,0
32993,1586907,0
33093,1687497,23617
33194,878478,0
33294,1085210,0
33398,1262554,0
33501,544927,0
33596,1172325,0
33704,992537,0
33805,1046606,0
33905,1155871,0
34006,951853,0
34105,1287046,0
34206,1021753,0
34309,828806,0
34414,907603,0
34512,1111438,0
34617,1126082,0
34708,1172325,0
34803,1053023,0
34903,706204,0
35005,733405,0
35106,746803,0
35207,662179,0
35306,1474495,0
35407,875477,0
35507,937624,0
35626,743893,0
35717,996249,0
35823,763674,0
35917,1111438,0
36019,901983,0
36119,1136373,0
36220,862087,0
36324,874771,0
36419,951853,0
36520,1588022,0
36629,746339,0
36723,914169,0
36822,1046606,0
36923,1051593,0
37026,985017,0
37131,872061,0
37224,961057,0
37321,1239785,0
37424,1201005,0
37524,1107794,0
37626,966814,0
37727,1126399,0
37831,901983,0
37927,956840,0
38027,1301386,0
38122,968097,0
38224,923361,0
38324,973231,0
38425,900842,0
38525,717671,0
38627,717350,0
38728,762565,0
38829,701728,0
38931,624701,0
39031,726888,0
39130,510622,0
39235,1010983,0
39339,1176124,0
39432,1027446,0
39543,988834,0
39638,1373087,0
39733,878072,0
39836,720460,0
39935,825705,0
40036,1060015,0
40137,764953,0
40239,202086,0
40339,703960,0
40439,690568,0
40540,723247,0
40642,698380,0
40744,718437,0
40843,754758,0
40946,652571,0
41045,730933,0
41146,912530,0
41249,1125596,0
41352,1168487,0
41454,951853,0
41555,1161308,0
41656,981775,0
41756,1036632,0
41860,981775,0
41958,872061,0
42062,1086503,0
42160,1073017,0
42254,482895,0
42355,1007498,0
42456,863517,0
42555,882035,0
42655,1481574,0
42755,971801,0
42870,828754,0
42966,1208175,0
43057,1136474,0
43157,1192761,0
43262,1265596,0
43368,487566,0
43458,1277728,0
43559,1053480,0
43661,840538,0
43760,895264,0
43862,716767,0
43962,741468,0
44064,747873,0
44164,734587,0
44265,721213,0
44366,724453,0
44466,698380,0
44567,768193,0
44668,708423,0
44770,725161,0
44870,721814,0
44971,657716,0
45072,775869,0
45174,1246290,0
45277,1013077,0
45382,968131,0
45480,1112867,0
45582,845222,0
45687,845222,0
45781,1116425,0
45883,936146,0
45990,838656,0
46087,1051593,0
46182,1208175,0
46282,1201005,0
46387,1097591,0
46487,1198107,0
46579,872061,0
46680,963899,0
46780,989858,0
46880,877836,0
46982,854650,0
47081,1692331,28451
47181,1166689,0
47283,1164653,0
47383,1171251,0
47483,998166,0
47583,730310,0
47685,745062,0
47786,833204,0
47886,761713,0
47988,724453,0
48039,676267,0
48138,420505,0
48241,664193,0
48342,682730,0
48442,650829,0
48542,739668,0
48644,720698,0
48745,669991,0
48845,761264,0
48946,642094,0
49048,706142,0
49147,1279566,0
49249,1038701,0
49356,911957,0
49460,1056580,0
49557,1133029,0
49660,1071542,0
49758,936892,0
49859,961827,0
49959,961827,0
50058,1172325,0
50153,901983,0
50255,828328,0
50356,663307,0
50456,933405,0
50558,871488,0
50658,836695,0
50758,816463,0
50858,838328,0
50960,1028500,0
51059,546700,0
51163,859195,0
51268,991383,0
51362,993072,0
51465,983205,0
51562,1048182,0
51663,882035,0
51763,887440,0
51863,715760,0
51966,695033,0
52066,716185,0
52568,717350,0
54280,654000,0
55891,581097,0
57400,1191359,0
58758,697327,0
60065,613748,0
61276,586849,0
62286,490694,0
63093,589865,0
63696,642686,0
64100,1120016,0
64301,1240669,0
64402,1198526,0
64501,1412154,0
64604,1196906,0
64705,1259980,0
64804,1200146,0
64912,1243903,0
65005,1494512,0
65106,1325971,0
65211,856561,0
65314,1279070,0
65416,1484452,0
65520,1519630,0
65618,1663114,0
65709,1569902,0
65811,737939,0
65923,811575,0
66025,834900,0
66119,892009,0
66224,1061568,0
66270,1497226,0
66370,1387428,0
66475,838656,0
66575,850133,0
66678,917452,0
66773,1071542,0
66881,933868,0
66974,1518956,0
67073,1188883,0
67174,1093454,0
67280,1096477,0
67380,1021753,0
67470,931905,0
67572,986762,0
67671,948442,0
67772,833906,0
67877,717671,0
67975,748753,0
68076,773053,0
68176,705076,0
68276,693917,0
68379,868824,0
68477,792493,0
68578,901331,0
68679,703910,0
68780,672222,0
68880,665563,0
68983,866507,0
69087,1055774,0
69182,1159506,0
69286,910423,0
69384,704293,0
69486,754382,0
69587,736320,0
69686,684990,0
69788,738552,0
69888,743436,0
69989,75769,0
70089,1237542,0
70190,835845,0
70291,859007,0
70391,950337,0
70493,576819,0
70593,728107,0
70698,649905,0
70796,726953,0
70897,794882,0
71000,1195485,0
71102,993351,0
71209,887810,0
,,
