datetime,cpu,mem
Fri Oct 28 22:22:36 GMT 2022,63,1323256
Fri Oct 28 22:22:38 GMT 2022,0,1446320
Fri Oct 28 22:22:39 GMT 2022,0,1222536
Fri Oct 28 22:22:42 GMT 2022,0,1335440
Fri Oct 28 22:22:45 GMT 2022,0.1,1364598
Fri Oct 28 22:22:48 GMT 2022,0.1,1344332
Fri Oct 28 22:22:51 GMT 2022,0,1342073
Fri Oct 28 22:22:53 GMT 2022,0,1335728
Fri Oct 28 22:22:55 GMT 2022,0,1341062
Fri Oct 28 22:22:57 GMT 2022,0,1338020
Fri Oct 28 22:22:59 GMT 2022,0,1337138
Fri Oct 28 22:23:01 GMT 2022,0,1336292
Fri Oct 28 22:23:03 GMT 2022,34,1336670
Fri Oct 28 22:23:04 GMT 2022,34,1338230
Fri Oct 28 22:23:06 GMT 2022,34,1338392
Fri Oct 28 22:23:08 GMT 2022,33,1336730
Fri Oct 28 22:23:10 GMT 2022,33,1337210
Fri Oct 28 22:23:12 GMT 2022,33,1339152
Fri Oct 28 22:23:14 GMT 2022,32,1338046
Fri Oct 28 22:23:16 GMT 2022,32,1336542
Fri Oct 28 22:23:18 GMT 2022,32,1338784
Fri Oct 28 22:23:20 GMT 2022,31,1338886
Fri Oct 28 22:23:22 GMT 2022,31,1338478
Fri Oct 28 22:23:24 GMT 2022,31,1341178
Fri Oct 28 22:23:26 GMT 2022,32,1335248
Fri Oct 28 22:23:28 GMT 2022,32,1338770
Fri Oct 28 22:23:30 GMT 2022,32,1340056
Fri Oct 28 22:23:31 GMT 2022,33,1338574
Fri Oct 28 22:23:33 GMT 2022,33,1337662
Fri Oct 28 22:23:35 GMT 2022,33,1340208
Fri Oct 28 22:23:37 GMT 2022,32,1340206
Fri Oct 28 22:23:39 GMT 2022,32,1340906
Fri Oct 28 22:23:41 GMT 2022,32,1342308
Fri Oct 28 22:23:43 GMT 2022,32,1338430
Fri Oct 28 22:23:45 GMT 2022,32,1338398
Fri Oct 28 22:23:47 GMT 2022,32,1334768
Fri Oct 28 22:23:49 GMT 2022,26,1333434
