Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
71,5076930,1707327
172,4727721,1358118
270,4338632,969029
370,4536001,1166398
471,3058740,0
578,3883456,513853
675,2766089,0
772,2966415,0
875,4714614,1345011
973,2557255,0
1080,2810279,0
1179,2674474,0
1273,2498551,0
1388,3662015,292412
1476,3011936,0
1590,3469043,99440
1680,2132814,0
1781,2736164,0
1888,2336019,0
1979,3080654,0
2085,3922657,553054
2184,3381714,12111
2286,2918252,0
2385,3013570,0
2488,2581850,0
2582,2340891,0
2682,1963096,0
2783,1257170,0
2884,1888260,0
2984,1326845,0
3084,1212591,0
3190,1097213,0
3290,945667,0
3393,1086503,0
3496,897753,0
3595,926918,0
3695,1051593,0
3795,1125734,0
3895,1310426,0
3998,1004926,0
4092,1117030,0
4192,837827,0
4292,765099,0
4392,790034,0
4493,585567,0
4593,1235903,0
4693,1701959,0
4794,1788000,0
4894,2186507,0
4994,2361608,0
5095,2825779,0
5196,2709924,0
5300,2824190,0
5397,2347458,0
5498,924570,0
5599,365251,0
5699,566337,0
5800,557517,0
5900,1318966,0
6001,811313,0
6101,1429496,0
6203,695281,0
6302,765099,0
6403,740164,0
6504,687384,0
6604,741495,0
6705,597618,0
6806,650398,0
6906,706586,0
7006,1071717,0
7106,1415155,0
7207,1116839,0
7307,1404967,0
7409,617193,0
7510,693577,0
7611,769665,0
7713,1374947,0
7815,734542,0
7921,717306,0
8018,762189,0
8115,780035,0
8221,980798,0
8313,823321,0
8414,2909331,0
8525,3025789,0
8620,2843518,0
8720,3237873,0
8819,2169529,0
8924,1631772,0
9020,2516712,0
9122,2255570,0
9222,2047638,0
9334,2771817,0
9425,3316744,0
9532,2542374,0
9625,2688795,0
9723,1782344,0
9823,1086845,0
9925,950613,0
10026,1848760,0
10136,2106503,0
10231,2787439,0
10324,2398972,0
10428,2893709,0
10534,2581243,0
10631,2965490,0
10733,2873147,0
10835,2935412,0
10931,2700116,0
11032,2090658,0
11133,1932916,0
11235,1796684,0
11334,1904236,0
11434,1624602,0
11539,1595922,0
11632,3144662,0
11736,2932578,0
11838,3197871,0
11936,2459352,0
12047,2083488,0
12150,2692946,0
12241,2069148,0
12337,1423840,0
12443,1023405,0
12541,1409913,0
12648,890234,0
12742,1717813,0
12842,2377462,0
12945,761727,0
13044,1750516,0
13147,1576028,0
13245,1598542,0
13351,1440940,0
13451,1671715,0
13548,1576028,0
13651,1604171,0
13749,1576028,0
13849,1722373,0
13950,1615428,0
14050,1530998,0
14101,1632314,0
14201,1604171,0
14305,1401539,0
14405,996274,0
14503,906216,0
14603,900587,0
14707,996274,0
14804,1013160,0
14908,1075076,0
15006,928730,0
15106,1153877,0
15206,939988,0
15307,1069447,0
15408,1108848,0
15508,923102,0
15617,1080705,0
15712,956874,0
15810,1075076,0
15914,951245,0
16015,619153,0
16108,784242,0
16208,556875,0
16309,538890,0
16409,1144112,0
16510,1315680,0
16611,1314743,0
16711,1180592,0
16811,890247,0
16912,894226,0
17014,520618,0
17114,581482,0
17214,496844,0
17315,483466,0
17416,484272,0
17516,447011,0
17617,334692,0
17718,978448,0
17817,676076,0
17920,648214,0
18018,1002820,0
18118,1100848,0
18220,636940,0
18322,524367,0
18422,534069,0
18521,918390,0
18622,890247,0
18730,932931,0
18832,1218578,0
18928,1405253,0
19030,1125418,0
19125,1614454,0
19225,2041293,0
19330,1357415,0
19426,1590534,0
19526,1060045,0
19631,955445,0
19732,972790,0
19834,923401,0
19937,1190249,0
20033,1715770,0
20135,1135560,0
20239,1016907,0
20331,1587255,0
20431,1065671,0
20532,1168392,0
20633,781424,0
20734,1250169,0
20834,1288472,0
20935,1474677,0
