datetime,cpu,mem
Fri Oct 28 18:46:43 GMT 2022,34,1372133
Fri Oct 28 18:46:44 GMT 2022,0.7,1357101
Fri Oct 28 18:46:46 GMT 2022,0.7,1274175
Fri Oct 28 18:46:48 GMT 2022,0.7,1339007
Fri Oct 28 18:46:50 GMT 2022,0.3,1371255
Fri Oct 28 18:46:53 GMT 2022,0.3,1379179
Fri Oct 28 18:46:56 GMT 2022,-11.5,1375630
Fri Oct 28 18:46:59 GMT 2022,-11.5,1363492
Fri Oct 28 18:47:01 GMT 2022,-11.5,1370078
Fri Oct 28 18:47:04 GMT 2022,43,1368260
Fri Oct 28 18:47:06 GMT 2022,43,1367364
Fri Oct 28 18:47:08 GMT 2022,43,1367887
Fri Oct 28 18:47:10 GMT 2022,0,1367553
Fri Oct 28 18:47:12 GMT 2022,0,1369153
Fri Oct 28 18:47:14 GMT 2022,0,1369227
Fri Oct 28 18:47:16 GMT 2022,34,1367795
Fri Oct 28 18:47:18 GMT 2022,34,1368288
Fri Oct 28 18:47:20 GMT 2022,34,1372806
Fri Oct 28 18:47:22 GMT 2022,0.3,1354842
Fri Oct 28 18:47:24 GMT 2022,0.3,1356612
Fri Oct 28 18:47:26 GMT 2022,0.3,1359314
Fri Oct 28 18:47:28 GMT 2022,0,1356976
Fri Oct 28 18:47:30 GMT 2022,0,1356792
Fri Oct 28 18:47:33 GMT 2022,0,1359238
Fri Oct 28 18:47:35 GMT 2022,43,1359188
Fri Oct 28 18:47:37 GMT 2022,43,1349984
Fri Oct 28 18:47:39 GMT 2022,43,1355198
Fri Oct 28 18:47:41 GMT 2022,0.3,1354480
Fri Oct 28 18:47:44 GMT 2022,0.3,1353728
Fri Oct 28 18:47:46 GMT 2022,0.3,1355038
Fri Oct 28 18:47:48 GMT 2022,0,1354604
Fri Oct 28 18:47:50 GMT 2022,0,1356200
Fri Oct 28 18:47:52 GMT 2022,0,1353398
Fri Oct 28 18:47:54 GMT 2022,41,1353289
Fri Oct 28 18:47:57 GMT 2022,41,1339937
