Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
6,3719076,0
96,3883721,0
198,3892932,0
297,3036020,0
397,1985093,0
500,2806058,0
602,2730886,0
695,3229873,0
797,4614697,597399
897,3847229,0
997,3907733,0
1099,5252461,1235163
1200,3310485,0
1307,3663749,0
1402,4451652,434354
1513,3846644,0
1608,3855659,0
1707,3411936,0
1805,3840673,0
1910,3652148,0
2006,3725156,0
2103,3590083,0
2211,3579248,0
2312,3461951,0
2413,3089738,0
2513,2929559,0
2614,2269911,0
2714,2743137,0
2813,2406142,0
2916,1215907,0
3016,2162359,0
3117,1961597,0
3216,1873289,0
3316,1762338,0
3418,1591315,0
3518,2159712,0
3619,2722188,0
3725,2964277,0
3819,2903897,0
3919,2635585,0
4022,2348782,0
4133,3420144,0
4224,3273724,0
4325,2757477,0
4431,3525994,0
4535,3454293,0
4626,2830495,0
4723,3246361,0
4831,3232021,0
4929,3080580,0
5028,2995407,0
5129,3174660,0
5229,2873516,0
5330,2687093,0
5431,2253022,0
5542,2166735,0
5646,2217393,0
5736,2346853,0
5840,2273680,0
5939,2341224,0
6037,2189250,0
6139,2251165,0
6253,2194878,0
6357,2289272,0
6453,2396217,0
6544,2086640,0
6649,2311787,0
6749,2424361,0
6842,2300530,0
6948,2227357,0
7051,2311787,0
7147,2356817,0
7243,2368074,0
7349,2142927,0
7446,2062832,0
7557,2321751,0
7663,1930634,0
7760,2251468,0
7862,2110752,0
7959,2009435,0
8051,2138895,0
8154,2138895,0
8254,1998178,0
8353,2251468,0
8462,2138895,0
8565,2353774,0
8667,2353774,0
8765,2365031,0
8872,2179285,0
8968,2460718,0
9064,2089226,0
9181,2393174,0
9300,2404432,0
9373,2404432,0
9438,2129248,0
9530,2174054,0
9633,2134157,0
9736,2019456,0
9831,2099248,0
9936,2184028,0
10040,2233898,0
10134,2034417,0
10244,2184028,0
10339,2189015,0
10437,2159092,0
10535,1705352,0
10643,1994598,0
10742,2144209,0
10843,2154183,0
10941,2054442,0
11042,2109300,0
11146,2094339,0
11254,2144209,0
11349,2094339,0
11446,2074390,0
11548,2109300,0
11651,2154183,0
11748,1989611,0
11854,2204053,0
11948,2154183,0
12066,2154183,0
12149,2069403,0
12246,2019533,0
12349,1954702,0
12446,1909819,0
12551,1874910,0
12650,2154183,0
12750,1904832,0
12853,2109300,0
12952,2004572,0
13053,2154183,0
13148,1825244,0
13257,1650699,0
13384,1944933,0
13450,2110752,0
13557,2183924,0
13660,1913748,0
13756,2122009,0
13866,2043207,0
13967,2195182,0
14068,2195182,0
14174,1953149,0
14266,2065722,0
14369,1699858,0
14471,2195182,0
14567,1992549,0
14668,1649200,0
14770,1722373,0
14869,1744888,0
14970,1896862,0
15082,1953149,0
15170,2200810,0
15270,2071351,0
15374,1756145,0
15480,1840575,0
15578,1970035,0
15677,1728002,0
15786,2082608,0
15884,2015064,0
15985,1998178,0
16079,1812432,0
16194,1834947,0
16282,1964406,0
16386,1407168,0
16484,1936263,0
16588,2122009,0
16686,1654829,0
16790,1215793,0
16886,1204535,0
16985,962502,0
17086,1024418,0
17187,1063819,0
17291,1125734,0
17391,1260822,0
17491,1114477,0
17589,928730,0
17690,1046932,0
17790,985017,0
17891,1148249,0
17991,996274,0
18092,1373395,0
18192,1024418,0
18293,1013160,0
18397,1148249,0
18495,714841,0
18596,722293,0
18696,1009389,0
18803,597542,0
18903,527876,0
18998,902444,0
19098,722327,0
19196,2230327,0
19297,2851822,0
19404,2339612,0
19503,1821775,0
19604,1140705,0
19700,845600,0
19799,1030963,0
19901,592631,0
20002,636940,0
20102,590976,0
20202,666489,0
20305,963138,0
20403,912950,0
20503,721387,0
20604,691625,0
20704,584409,0
20805,633657,0
20906,564005,0
21008,457919,0
21109,481032,0
21208,531597,0
21309,528357,0
21410,532440,0
21510,387223,0
21611,362577,0
21711,1039385,0
21811,1233596,0
21912,1171680,0
22012,567993,0
22116,655160,0
22213,1149166,0
22315,749040,0
22415,945962,0
22516,695281,0
22617,740164,0
22716,685307,0
22816,1022989,0
22920,945970,0
23023,739860,0
23118,662449,0
23218,555810,0
23320,795021,0
23420,705255,0
23520,790034,0
23621,538444,0
23721,705888,0
23822,553592,0
23923,525512,0
24025,589653,0
24124,1272996,0
24224,1187626,0
24327,842872,0
24427,617241,0
24526,874813,0
24627,525702,0
24728,559153,0
24830,510192,0
24930,523497,0
25031,451726,0
25131,492825,0
25232,472932,0
25334,533217,0
25382,236952,0
25485,967479,0
25588,867450,0
25695,534079,0
25790,1043161,0
25886,694183,0
25988,713525,0
26086,1104136,0
26187,564710,0
26289,617241,0
26387,597542,0
26489,646230,0
26588,889774,0
26689,676339,0
26791,601641,0
26893,508917,0
26993,492372,0
27095,458352,0
27194,533217,0
27295,455936,0
27396,519912,0
27496,518292,0
27596,547020,0
27697,523497,0
27799,534492,0
27900,492372,0
27998,485913,0
28101,856020,0
28200,476266,0
28301,722327,0
28401,893998,0
28503,720216,0
28602,662449,0
28706,826274,0
28805,712319,0
28906,627091,0
29005,590834,0
29106,456368,0
29207,512134,0
29307,492371,0
29408,558002,0
29507,538506,0
29607,897463,0
29709,713527,0
29811,771433,0
29911,703393,0
30013,726277,0
30112,952579,0
30212,838647,0
30313,871428,0
30417,887777,0
30524,957521,0
30617,1256849,0
30715,976788,0
30816,973231,0
30916,847126,0
31017,1023247,0
31117,978218,0
31217,813423,0
31320,745513,0
31419,709105,0
31521,770136,0
31625,764155,0
31721,1699858,0
31822,1407168,0
31922,1097906,0
32024,968244,0
32123,1017472,0
32224,751641,0
32328,658554,0
32431,1216440,0
32525,972589,0
32625,867074,0
32726,1048036,0
32826,887022,0
32927,1003299,0
33029,926918,0
33128,812862,0
33230,885093,0
33329,888452,0
33430,1048036,0
33530,825995,0
33631,2234582,0
33730,2921280,0
33831,1260822,0
33933,912745,0
34034,769252,0
34135,653087,0
34238,872444,0
34343,951245,0
34435,900587,0
34536,993179,0
34636,928348,0
34737,1666086,0
34837,838672,0
34937,942667,0
35041,816145,0
35139,1249565,0
35240,747394,0
35341,752935,0
35442,795761,0
35543,307328,0
35644,483840,0
35745,651649,0
35847,526884,0
35947,495957,0
36048,474120,0
36150,484272,0
36252,477803,0
36351,771551,0
36453,902486,0
36553,848510,0
36653,670346,0
36754,762189,0
36854,681651,0
36954,520736,0
37055,645411,0
37157,730190,0
37257,705255,0
37357,807905,0
37456,836994,0
37558,773829,0
37658,680320,0
37758,834917,0
37858,691625,0
37959,582657,0
38061,660372,0
38160,836248,0
38261,727015,0
38362,600825,0
38462,498719,0
38562,594127,0
38663,599931,0
38764,617633,0
38865,558040,0
38964,792702,0
39067,850527,0
39171,863690,0
39266,706959,0
39366,618772,0
39468,630374,0
39566,979698,0
39666,1072971,0
39767,917732,0
39867,878054,0
39968,796359,0
40072,273457,0
40170,756853,0
40271,743893,0
40372,694087,0
40472,746365,0
40573,806743,0
40674,753613,0
40774,656827,0
40874,847160,0
40976,983589,0
41079,989539,0
41177,1061568,0
41277,1134245,0
41377,1001025,0
41478,887810,0
41578,816145,0
41679,733077,0
41783,731785,0
41882,832993,0
41984,766573,0
42084,627667,0
42184,813223,0
42286,679507,0
42387,786451,0
42487,775825,0
42587,700567,0
42687,783625,0
42789,779203,0
42888,881792,0
42988,433869,0
43043,674034,0
43150,1099163,0
43240,1041304,0
43341,871022,0
43442,713472,0
43544,745513,0
43643,878791,0
43745,700567,0
43844,769045,0
43944,430571,0
44046,770136,0
44145,976550,0
44246,979370,0
44348,818244,0
44448,946347,0
44549,1187649,0
44650,1023101,0
44750,970456,0
44852,945600,0
44950,1317109,0
45051,1136991,0
45151,887022,0
45252,795974,0
45353,858110,0
45454,734872,0
45555,629429,0
45657,535074,0
45757,485892,0
45860,523195,0
45960,581475,0
