datetime,cpu,mem
Fri Oct 28 19:27:29 GMT 2022,8.5,1333900
Fri Oct 28 19:27:31 GMT 2022,8.5,1436103
Fri Oct 28 19:27:33 GMT 2022,8.5,1235890
Fri Oct 28 19:27:35 GMT 2022,0.3,1299367
Fri Oct 28 19:27:39 GMT 2022,0.3,1354383
Fri Oct 28 19:27:43 GMT 2022,0.3,1333569
Fri Oct 28 19:27:46 GMT 2022,0.3,1345607
Fri Oct 28 19:27:48 GMT 2022,0,1338763
Fri Oct 28 19:27:51 GMT 2022,0,1339485
Fri Oct 28 19:27:53 GMT 2022,42,1337085
Fri Oct 28 19:27:56 GMT 2022,42,1339115
Fri Oct 28 19:27:59 GMT 2022,42,1336381
Fri Oct 28 19:28:01 GMT 2022,42,1337153
Fri Oct 28 19:28:03 GMT 2022,42,1338043
Fri Oct 28 19:28:05 GMT 2022,0,1338173
Fri Oct 28 19:28:07 GMT 2022,0,1334525
Fri Oct 28 19:28:09 GMT 2022,0,1338723
Fri Oct 28 19:28:12 GMT 2022,42,1336289
Fri Oct 28 19:28:14 GMT 2022,42,1337345
Fri Oct 28 19:28:16 GMT 2022,42,1340095
Fri Oct 28 19:28:18 GMT 2022,0.3,1335629
Fri Oct 28 19:28:21 GMT 2022,0.3,1337113
Fri Oct 28 19:28:23 GMT 2022,0.3,1339523
Fri Oct 28 19:28:25 GMT 2022,0,1341749
Fri Oct 28 19:28:27 GMT 2022,0,1341533
Fri Oct 28 19:28:29 GMT 2022,0,1343659
Fri Oct 28 19:28:31 GMT 2022,37,1342941
Fri Oct 28 19:28:33 GMT 2022,37,1343141
Fri Oct 28 19:28:35 GMT 2022,37,1342603
Fri Oct 28 19:28:38 GMT 2022,20,1338933
Fri Oct 28 19:28:40 GMT 2022,20,1333949
Fri Oct 28 19:28:42 GMT 2022,20,1335476
