Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
73,2975618,834762
175,2799936,659080
275,2266664,125808
376,2009873,0
477,1747732,0
576,1948495,0
676,2390753,249897
776,3269244,1128388
878,2323000,182144
977,1316383,0
1078,1496918,0
1178,2286961,146105
1287,2106844,0
1379,2432302,291446
1480,2377209,236353
1584,2623001,482145
1688,3775844,1634988
1785,3565435,1424579
1894,3389979,1249123
1986,3700359,1559503
2089,3373794,1232938
2188,3657851,1516995
2290,2298521,157665
2395,1848347,0
2487,1855821,0
2589,1914318,0
2690,1049481,0
2790,827208,0
2891,655385,0
2991,1020800,0
3091,673236,0
3192,1455910,0
3293,2058653,0
3393,2777134,636278
3496,2821478,680622
3598,1961597,0
3697,1591770,0
3802,900423,0
3897,1352139,0
4013,727769,0
4104,1881001,0
4203,2994090,853234
4310,3460146,1319290
4402,3202023,1061167
4502,2176699,35843
4603,2649926,509070
4704,3288064,1147208
4806,3072093,931237
4908,2757477,616621
5008,3058621,917765
5108,3123152,982296
5210,3517981,1377125
5309,2765121,624265
5410,1983581,0
5512,1668097,0
5612,1729935,0
5713,1801251,0
5815,2065799,0
5916,1835023,0
6023,1930711,0
6121,2268431,127575
6221,1923712,0
6323,1940598,0
6436,2205146,64290
6531,2261432,120576
6628,2148859,8003
6724,2148859,8003
6828,2019399,0
6938,2013771,0
7032,2148859,8003
7139,2098201,0
7227,2257174,116318
7333,2082685,0
7440,2195258,54402
7533,2206515,65659
7633,2167115,26259
7734,2105199,0
7831,2032027,0
7931,2037655,0
8036,2313460,172604
8130,2043284,0
8233,1780439,0
8339,2082685,0
8439,2031950,0
8541,2281894,141038
8640,2287523,146667
8751,2405725,264869
8833,2315666,174810
8935,2394468,253612
9050,2161410,20554
9145,2110752,0
9243,2195182,54326
9359,2195182,54326
9451,2251468,110612
9548,2251468,110612
9651,2195182,54326
9751,2127638,0
9849,2251468,110612
9959,2195182,54326
10056,2138895,0
10153,2183924,43068
10251,2155781,14925
10355,2138895,0
10458,2251468,110612
10561,2251468,110612
10656,2195182,54326
10755,2251468,110612
10863,2195182,54326
10961,2144524,3668
11064,2251468,110612
11157,2195182,54326
11263,2200810,59954
11364,2251468,110612
11465,2251468,110612
11510,2251468,110612
11620,2138895,0
11715,2183924,43068
11820,2155781,14925
11910,2195182,54326
12011,2110752,0
12116,2088237,0
12215,2082608,0
12324,2251468,110612
12430,2088237,0
12517,2093865,0
12623,2195182,54326
12728,2251468,110612
12819,2155781,14925
12916,2127638,0
13018,1998178,0
13122,1857461,0
13226,1829318,0
13322,2015064,0
13420,1778660,0
13521,1975663,0
13626,1986921,0
13731,1773031,0
13824,2122009,0
13929,2015064,0
14024,1632314,0
14131,2065722,0
14232,2082608,0
14330,1773031,0
14429,1733630,0
14525,1818061,0
14629,1198907,0
14727,2163267,22411
14831,1382738,0
14926,1900576,0
15030,1157591,0
15129,1973749,0
15230,1959683,0
15334,2260811,119955
15434,2514101,373245
15535,1721399,0
15627,1381340,0
15734,1296440,0
15833,2481269,340413
15932,1298308,0
16035,1123819,0
16134,1570837,0
16230,1691861,0
16336,1272052,0
16431,1362576,0
16532,1177297,0
16633,635437,0
16733,822703,0
16834,1109765,0
16934,732644,0
17035,745151,0
17135,854865,0
17236,673256,0
17337,680320,0
17438,1161363,0
17546,1342879,0
17647,2028172,0
17746,2351810,210954
17849,2097580,0
17948,2457815,316959
18046,1900576,0
18143,1331152,0
18244,994846,0
18345,974677,0
18446,473448,0
18547,568173,0
18646,879897,0
18748,635015,0
18850,1062878,0
18955,731374,0
19048,750470,0
19149,793154,0
19250,800008,0
19351,604108,0
19452,579187,0
19554,507297,0
19653,596648,0
19754,910884,0
19855,655385,0
19957,610675,0
20059,500472,0
20159,548088,0
20258,1044372,0
20358,1130402,0
20459,1289882,0
20559,1003760,0
20660,715229,0
20763,680320,0
20861,545011,0
20962,647782,0
21063,417589,0
21164,495056,0
21264,576623,0
21365,479971,0
21467,755948,0
21566,811117,0
21666,566337,0
21768,441494,0
21869,493425,0
21969,628715,0
22071,690811,0
22172,500817,0
22272,506952,0
22372,481075,0
22473,518292,0
22575,555552,0
22676,469692,0
22777,478137,0
22878,457919,0
22981,510537,0
23079,495957,0
23182,619964,0
23279,1205452,0
23380,1064736,0
23481,966703,0
23581,781391,0
23683,668642,0
23783,650398,0
23892,1113516,0
23984,1048320,0
24085,1135563,0
24190,1237333,0
24286,1112562,0
24386,930925,0
24490,735177,0
24589,594259,0
24690,533217,0
24790,490751,0
24892,476171,0
24993,505332,0
25092,456001,0
25193,447009,0
25294,689472,0
25393,541306,0
25494,482652,0
25545,495611,0
25646,578092,0
25745,671224,0
25847,682452,0
25948,495611,0
26048,487289,0
26149,528012,0
26254,463812,0
26350,607355,0
26451,481075,0
26552,506952,0
26653,770909,0
26755,899021,0
26863,808682,0
26960,590976,0
27063,623808,0
27162,679622,0
27266,612797,0
27361,926760,0
27462,717306,0
27567,620524,0
27669,702604,0
27763,784242,0
27861,643507,0
27960,656640,0
28060,565242,0
28160,538444,0
28261,496198,0
28361,1130402,0
28462,575593,0
28562,800008,0
28663,625463,0
28764,573115,0
28863,604260,0
28965,438480,0
29067,517017,0
29168,464928,0
29269,282120,0
29371,927790,0
29469,768431,0
29570,580580,0
29670,836994,0
29771,859690,0
29872,489939,0
29974,583276,0
30072,1593831,0
30174,1334912,0
30274,905255,0
30375,753421,0
30477,705255,0
30576,555296,0
30677,450252,0
30778,444960,0
30879,518637,0
30979,497275,0
31082,467159,0
31182,458232,0
31283,503468,0
31383,464928,0
31483,589849,0
31585,484315,0
31685,730159,0
31786,760945,0
31884,922596,0
31988,899011,0
32085,908722,0
32187,770711,0
32287,751993,0
32388,726073,0
32488,710287,0
32589,753613,0
32690,728509,0
32791,705076,0
32894,198446,0
32992,709539,0
33094,755684,0
33194,761264,0
33299,686214,0
33396,889491,0
33496,951113,0
33599,735599,0
33699,659948,0
33800,844526,0
33899,1332678,0
34001,891806,0
34101,797256,0
34201,913387,0
34302,803950,0
34403,743893,0
34503,957323,0
34604,640774,0
34705,838099,0
34807,700612,0
34908,697215,0
35007,783514,0
35108,702187,0
35209,878694,0
35311,690847,0
35411,718825,0
35510,1002352,0
35612,708115,0
35713,662179,0
35813,512585,0
35915,1068795,0
36013,761210,0
36123,780180,0
36222,1171282,0
36322,921931,0
36423,976788,0
36524,1111438,0
36630,787127,0
36727,917452,0
36834,707102,0
36930,883176,0
37031,1286512,0
37122,1035675,0
37223,845222,0
37324,778126,0
37425,751993,0
37525,870006,0
37626,727227,0
37728,692752,0
37828,407182,0
37930,737356,0
38030,974236,0
38129,1018114,0
38229,883465,0
38331,993179,0
38431,830695,0
38535,795167,0
38633,817488,0
38733,765720,0
38836,779533,0
38935,740653,0
39036,764953,0
39138,751993,0
39238,273474,0
39339,715119,0
39439,702844,0
39540,692801,0
39642,850466,0
39743,465924,0
39843,660856,0
40044,934348,0
40901,426194,0
41705,998316,0
42412,603782,0
43029,634827,0
43520,1288965,0
43932,777748,0
44130,880872,0
44233,1022515,0
44326,562867,0
44421,1024328,0
44528,956086,0
44630,1148249,0
44721,973760,0
44824,941879,0
44922,1051886,0
45022,887438,0
45123,744097,0
45225,826670,0
45326,676267,0
45426,753283,0
45526,660067,0
45628,750373,0
45728,727393,0
45829,687607,0
45931,699447,0
46031,842383,0
46131,760093,0
46231,403063,0
46331,734519,0
46432,1009367,0
46544,817204,0
46641,1058190,0
46734,956840,0
46836,1098548,0
46935,937680,0
47037,836695,0
47137,751993,0
47238,694087,0
47341,758669,0
47439,839911,0
47540,977058,0
47646,810313,0
47745,557546,0
47844,494933,0
47946,481032,0
48046,498895,0
48147,478137,0
48248,591985,0
48348,558002,0
48449,447379,0
48550,846110,0
48649,799906,0
48749,711069,0
48851,738087,0
48951,715229,0
49053,584409,0
49154,500817,0
49256,454885,0
49357,449305,0
49457,464875,0
49559,492825,0
49658,503468,0
49766,526392,0
49860,432000,0
49962,523583,0
50065,464832,0
50165,528012,0
50266,507383,0
50366,432000,0
50468,517017,0
50568,485892,0
50669,554179,0
50768,937152,0
50869,700471,0
50970,604777,0
51073,438066,0
51175,958168,0
51277,1055977,0
51378,1163964,0
51482,946866,0
51572,1063819,0
51673,834907,0
51775,784700,0
51874,807234,0
51975,862110,0
52077,777913,0
52177,729313,0
52279,724046,0
52380,682730,0
52480,698406,0
52582,688826,0
52683,728509,0
52783,771433,0
52883,773053,0
52984,567559,0
53086,778761,0
53185,930070,0
53285,1013160,0
53385,883465,0
53485,848977,0
53586,741468,0
53687,700471,0
53737,779285,0
53838,1006099,0
55047,1004702,0
57766,793642,0
60383,975203,0
62854,560109,0
65183,539271,0
67293,546642,0
69159,539610,0
70872,380330,0
72383,1019983,0
,,
,,
