datetime,cpu,mem
Fri Oct 28 22:45:26 GMT 2022,30,1269021
Fri Oct 28 22:45:28 GMT 2022,0.4,1284864
Fri Oct 28 22:45:30 GMT 2022,0.4,1190036
Fri Oct 28 22:45:32 GMT 2022,0.4,1245072
Fri Oct 28 22:45:34 GMT 2022,0.1,1260702
Fri Oct 28 22:45:37 GMT 2022,0.1,1255613
Fri Oct 28 22:45:40 GMT 2022,-15,1276195
Fri Oct 28 22:45:43 GMT 2022,-15,1277770
Fri Oct 28 22:45:45 GMT 2022,-15,1283832
Fri Oct 28 22:45:47 GMT 2022,57,1276326
Fri Oct 28 22:45:50 GMT 2022,57,1275458
Fri Oct 28 22:45:52 GMT 2022,57,1277165
Fri Oct 28 22:45:55 GMT 2022,0,1275935
Fri Oct 28 22:45:56 GMT 2022,0,1277275
Fri Oct 28 22:45:58 GMT 2022,0,1274617
Fri Oct 28 22:46:00 GMT 2022,33,1268179
Fri Oct 28 22:46:02 GMT 2022,33,1268431
Fri Oct 28 22:46:04 GMT 2022,33,1270337
Fri Oct 28 22:46:06 GMT 2022,33,1267003
Fri Oct 28 22:46:08 GMT 2022,33,1267695
Fri Oct 28 22:46:09 GMT 2022,33,1269745
Fri Oct 28 22:46:11 GMT 2022,30,1268919
Fri Oct 28 22:46:13 GMT 2022,30,1269267
Fri Oct 28 22:46:15 GMT 2022,30,1268525
Fri Oct 28 22:46:17 GMT 2022,18,1269339
Fri Oct 28 22:46:19 GMT 2022,18,1264572
Fri Oct 28 22:46:21 GMT 2022,18,1269138
Fri Oct 28 22:46:23 GMT 2022,0.1,1272412
Fri Oct 28 22:46:26 GMT 2022,0.1,1265092
Fri Oct 28 22:46:29 GMT 2022,-72.7,1261986
Fri Oct 28 22:46:31 GMT 2022,-72.7,1260994
Fri Oct 28 22:46:34 GMT 2022,-72.7,1261690
Fri Oct 28 22:46:36 GMT 2022,0,1261584
Fri Oct 28 22:46:37 GMT 2022,0,1263008
Fri Oct 28 22:46:39 GMT 2022,0,1263151
