Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
14,3048695,999645
109,1138844,0
209,1999727,0
310,2436601,387551
410,1409803,0
523,1636482,0
618,1712129,0
718,1583168,0
823,1620023,0
914,1249585,0
1015,1530998,0
1115,1381824,0
1216,1411123,0
1316,3019713,970663
1416,3130884,1081834
1516,3634754,1585704
1617,3600773,1551723
1718,2674092,625042
1818,1735192,0
1918,1514112,0
2019,1635838,0
2119,1484075,0
2220,1620877,0
2332,1332569,0
2380,1261048,0
2478,1175895,0
2579,1370213,0
2678,1716178,0
2778,1733454,0
2881,1475535,0
2980,1525725,0
3081,1583086,0
3180,1776679,0
3281,1267602,0
3381,887587,0
3483,831359,0
3579,866077,0
3683,1838191,0
3788,2658981,609931
3881,3209193,1160143
3985,3438636,1389586
4084,3438636,1389586
4185,2556714,507664
4285,2585395,536345
4386,1416669,0
4492,1175905,0
4583,3130322,1081272
4684,2327271,278221
4785,1924613,0
4889,2258208,209158
4994,2301610,252560
5091,1907254,0
5189,2054808,5758
5296,1086845,0
5393,1897066,0
5493,1581582,0
5593,1839705,0
5693,2061978,12928
5795,1582863,0
5897,1423840,0
5997,1258907,0
6098,1160327,0
6199,1170301,0
6302,1170301,0
6398,1710643,0
6497,1344969,0
6597,2427653,378603
6697,1935935,0
6799,1590033,0
6900,1190898,0
7007,1558446,0
7106,3029221,980171
7202,2327858,278808
7303,2602635,553585
7404,1763852,0
7506,1755549,0
7607,1745361,0
7706,1782344,0
7805,2248400,199350
7906,1855931,0
8008,2707286,658236
8108,3212211,1163161
8208,2293571,244521
8308,2398972,349922
8411,2312931,263881
8514,1749512,0
8611,2205380,156330
8710,1631772,0
8812,1696303,0
8910,1301948,0
9013,1512031,0
9116,2825365,776315
9213,3001260,952210
9315,1983107,0
9410,2522220,473170
9515,3135035,1085985
9615,2938879,889829
9726,2543879,494829
9818,2026321,0
9918,1958777,0
10018,1885605,0
10120,2251468,202418
10223,1964406,0
10324,2127638,78588
10431,2127638,78588
10531,2195182,146132
10631,2138895,89845
10724,2183924,134874
10826,2195182,146132
10926,2138895,89845
11026,2088237,39187
11133,1930634,0
11231,2251468,202418
11344,2138895,89845
11437,2183924,134874
11535,2015064,0
11632,1711116,0
11735,1953149,0
11833,1829318,0
11940,1728002,0
12034,1891233,0
12140,1688601,0
12245,2183924,134874
12337,2195182,146132
12437,1840575,0
12536,2020693,0
12641,1705487,0
12742,1091962,0
12838,1041304,0
12945,1097591,0
13040,1429682,0
13138,1784289,0
13254,1874347,0
13353,2082608,33558
13458,2195182,146132
13548,1913748,0
13643,1502855,0
13745,1322737,0
13840,435750,0
13943,413664,0
14043,532872,0
14144,434799,0
14244,555552,0
14346,461580,0
14446,464863,0
14550,475571,0
14648,516672,0
14748,533217,0
14849,444842,0
14953,450994,0
15049,1360710,0
15150,924019,0
15257,1989711,0
15351,781896,0
15452,548294,0
15554,643507,0
15654,531173,0
15754,456601,0
15855,468876,0
15956,424728,0
16057,403218,0
16158,471108,0
16258,523195,0
16360,498852,0
16460,473339,0
16561,452653,0
16662,443726,0
16763,434799,0
16863,504284,0
16964,438082,0
17065,490077,0
17166,394156,0
17266,503468,0
17368,424692,0
17469,468412,0
17569,615826,0
17671,977976,0
17769,862578,0
17824,407121,0
17921,727955,0
18022,617241,0
18122,481078,0
18222,467159,0
18324,443726,0
18424,458232,0
18528,458832,0
18628,431695,0
18731,557463,0
18832,495528,0
18933,453254,0
19031,1070376,0
19132,503276,0
19232,805817,0
19334,715229,0
19435,630374,0
19536,451897,0
19637,566337,0
19740,483466,0
19840,866170,0
19941,632527,0
20041,780060,0
20142,1048801,0
20244,768761,0
20343,1211081,0
20445,696526,0
20545,542436,0
20646,502578,0
20747,477803,0
20847,700567,0
20948,770665,0
21049,711771,0
21150,716234,0
21250,805453,0
21351,718466,0
21453,709105,0
21554,789253,0
21655,724414,0
21756,814843,0
21859,769483,0
21960,538187,0
22061,889117,0
22166,940790,0
22260,951245,0
22362,872061,0
22462,863517,0
22563,947473,0
22662,1232679,0
22763,884107,0
22863,1018789,0
22965,833595,0
23066,710138,0
23167,868677,0
23267,838250,0
23368,747394,0
23469,745513,0
23569,774673,0
23669,1077316,0
23771,842139,0
23874,771128,0
23980,996921,0
24071,962502,0
24172,924003,0
24273,942667,0
24374,867074,0
24474,918374,0
24575,898426,0
24677,713472,0
24777,817577,0
24878,719593,0
24978,735793,0
25079,681127,0
25180,790531,0
25281,651967,0
25381,751993,0
25484,706192,0
25584,720698,0
25687,459011,0
25787,1002550,0
25891,889977,0
25985,1001903,0
26086,1014557,0
26185,1063819,0
26286,1100765,0
26389,908400,0
26489,766970,0
26588,845323,0
26691,773538,0
26790,669787,0
26891,795403,0
26993,681127,0
27093,745642,0
27195,718466,0
27295,694087,0
27395,982653,0
27495,491586,0
27600,913138,0
27703,981789,0
27797,827178,0
27899,858530,0
27999,993179,0
28100,835845,0
28200,931521,0
28302,761392,0
28403,755233,0
28504,748753,0
28605,696149,0
28706,668875,0
28806,708423,0
28908,778002,0
29008,696149,0
29109,707307,0
29208,960606,0
29309,431025,0
29413,699610,0
29509,1010948,0
29624,1062997,0
29716,1075076,0
29817,1294594,0
29920,961827,0
30023,911957,0
30124,981775,0
30220,996274,0
30324,1103219,0
30414,916944,0
30515,918374,0
30618,936892,0
30718,1024418,0
30817,1412796,0
30867,1829318,0
30968,1165135,0
31069,833798,0
31172,972230,0
31269,869384,0
31383,772526,0
31487,996736,0
31578,1114477,0
31681,996274,0
31772,923102,0
31874,751730,0
31973,811343,0
32074,727693,0
32177,726925,0
32276,736783,0
32380,693868,0
32482,779288,0
32581,727344,0
32684,693917,0
32785,694923,0
32885,558833,0
32988,391073,0
33090,812250,0
33194,956435,0
33286,983205,0
33387,978162,0
33488,878478,0
33588,1243936,0
33689,716258,0
33788,2234582,185532
33890,1283337,0
33990,1536627,0
34090,1694230,0
34192,1086333,0
34291,1046932,0
34392,1063819,0
34492,1063819,0
34593,1097591,0
34693,1165135,0
34796,732374,0
34897,1374042,0
34994,1277708,0
35095,1097591,0
35195,1187649,0
35296,1069447,0
35396,1182021,0
35497,872444,0
35597,1041304,0
35697,1131363,0
35798,1018789,0
35898,1153877,0
35999,1030046,0
36099,1176392,0
36200,1052561,0
36303,962502,0
36401,1165135,0
36501,855558,0
36602,1108848,0
36702,1075076,0
36804,953102,0
36905,805817,0
37005,856475,0
37105,751875,0
37206,879929,0
37307,820825,0
37407,749530,0
37508,918390,0
37608,676357,0
37708,952162,0
37809,704500,0
37915,569412,0
38010,646336,0
38111,851786,0
38210,1012200,0
38312,777673,0
38412,794559,0
38512,767356,0
38612,856475,0
38713,848968,0
38816,670075,0
38916,841259,0
39019,824290,0
39120,818014,0
39223,879929,0
39315,896815,0
39416,789871,0
39517,612564,0
39620,392396,0
39722,467760,0
39822,506952,0
39923,464832,0
40023,520257,0
40158,437675,0
40232,740914,0
40333,742003,0
40435,832007,0
40533,637514,0
40627,834900,0
40728,622055,0
40827,846720,0
40929,742696,0
41029,698947,0
41130,479660,0
41233,652893,0
41330,983911,0
41439,878072,0
41532,985017,0
41634,848556,0
41734,928348,0
41836,750373,0
41937,745513,0
42041,721814,0
42137,744427,0
42239,705245,0
42340,146672,0
42440,703960,0
42542,776293,0
42641,764953,0
42741,784063,0
42843,714733,0
42944,1038468,0
43042,1210164,0
43143,851269,0
43244,974604,0
43346,789880,0
43448,766919,0
43549,772599,0
43647,833906,0
43747,786013,0
43849,1094574,0
43949,738265,0
44049,717973,0
44151,715119,0
44252,753613,0
44354,657716,0
44453,681859,0
44554,712341,0
44656,709539,0
44757,617078,0
44860,887117,0
44965,860455,0
45058,1030046,0
45158,766047,0
45259,847851,0
45362,697327,0
45462,687222,0
45563,717350,0
45663,721092,0
45764,740784,0
45864,649905,0
45915,323245,0
46015,629819,0
46118,686106,0
46219,713953,0
46318,727788,0
46420,730741,0
46520,684309,0
46621,849424,0
46719,965283,0
46820,775180,0
46932,817204,0
47022,1198907,0
47123,769243,0
47223,841510,0
47323,737413,0
47426,1004267,0
47526,803503,0
47626,688338,0
47727,687607,0
47828,674947,0
47927,918643,0
48029,828328,0
48130,749605,0
48229,819961,0
48331,650347,0
48431,662703,0
48533,459648,0
48636,843996,0
48732,898634,0
48833,1440940,0
48935,735784,0
49035,721746,0
49136,798457,0
49236,911491,0
49338,867674,0
49439,748423,0
49539,661687,0
49640,811603,0
49742,696149,0
49841,758911,0
49942,764953,0
50043,648789,0
50145,702844,0
50245,816793,0
50343,278899,0
50449,884348,0
50557,934477,0
50646,1069447,0
50746,1052561,0
50846,962502,0
50949,960931,0
51051,700153,0
51149,740653,0
51250,751993,0
51350,729313,0
51455,781349,0
51556,659948,0
51657,715119,0
51758,734173,0
51857,708253,0
51959,706633,0
52060,651021,0
52160,348680,0
52264,719558,0
52361,996921,0
52477,786763,0
52573,1131386,0
52670,1106484,0
52774,916944,0
52863,939988,0
52965,946866,0
53065,1087932,0
53171,953516,0
53266,807234,0
53367,683630,0
53469,763003,0
53569,664491,0
53669,850400,0
53770,716767,0
53871,686057,0
53972,309754,0
54075,866815,0
54172,843428,0
54279,1058190,0
54380,1030046,0
54473,962615,0
54575,1156557,0
54675,877836,0
54775,926918,0
54876,877591,0
54977,752057,0
55078,742516,0
55179,787336,0
55278,764953,0
55379,678295,0
55481,728509,0
55581,715119,0
55682,687222,0
55783,480241,0
55886,1021469,0
55983,917473,0
56083,945616,0
56183,1187649,0
56284,979388,0
56384,1035675,0
56485,1131363,0
56585,917473,0
56686,1075076,0
56786,1136991,0
56887,1063819,0
56987,1198907,0
57087,985017,0
57188,1182021,0
57288,996274,0
57388,962502,0
57489,1131363,0
57589,979388,0
57694,955767,0
57791,878719,0
57890,1193278,0
57991,1238307,0
58092,1187649,0
58192,1069447,0
58292,1114477,0
58392,1103219,0
58493,1024418,0
58593,1103219,0
58694,1035675,0
58794,1069447,0
58895,1153877,0
58995,1018789,0
59095,1159506,0
59196,1125734,0
59298,1075076,0
59399,749907,0
59501,1053208,0
59606,1055977,0
59699,1086333,0
59799,985017,0
59900,924959,0
60002,721387,0
60102,440893,0
60202,961542,0
60303,856475,0
60403,850846,0
60505,811445,0
60604,845217,0
60705,857415,0
60805,671668,0
60906,854597,0
61005,755159,0
61106,710129,0
61208,421409,0
61310,484272,0
61409,515052,0
61510,674611,0
61613,419821,0
61713,642577,0
61814,861005,0
61913,663655,0
62015,635437,0
62115,785047,0
62214,740164,0
62314,544589,0
62416,500472,0
62518,444774,0
62620,451537,0
62718,463296,0
62825,466044,0
62922,448190,0
63022,630374,0
63123,510377,0
63223,573949,0
63325,487512,0
63425,484272,0
63526,538164,0
63627,425520,0
63728,594259,0
63778,522840,0
63879,843042,0
63978,812181,0
64079,461064,0
64182,849929,0
64286,1002550,0
64380,767414,0
64482,687093,0
64583,688338,0
64684,710655,0
64786,761264,0
64886,668252,0
64985,661064,0
65086,730917,0
65186,725784,0
65287,1063356,0
65389,739081,0
65489,828277,0
65590,731912,0
65692,645487,0
65791,797353,0
65892,564189,0
65995,618388,0
66092,871571,0
66200,1063819,0
66293,1030046,0
66395,680311,0
66498,753613,0
66596,679507,0
66699,809983,0
66799,741899,0
66899,689227,0
66998,706204,0
67100,297774,0
67201,755233,0
67302,707307,0
67404,711771,0
67505,692310,0
67606,664411,0
67706,765826,0
67810,1323384,0
67916,889330,0
68008,934359,0
68110,819429,0
68209,786493,0
68311,768225,0
68412,702795,0
68513,689453,0
68613,682730,0
68716,697265,0
68814,712841,0
68915,484442,0
69017,622960,0
69117,716438,0
69217,696771,0
69318,764402,0
,,
