datetime,cpu,mem
Fri Oct 28 22:12:25 GMT 2022,0.1,1358151
Fri Oct 28 22:12:27 GMT 2022,0.1,1467458
Fri Oct 28 22:12:29 GMT 2022,0.1,1232693
Fri Oct 28 22:12:33 GMT 2022,0.1,1293379
Fri Oct 28 22:12:37 GMT 2022,0.1,1380988
Fri Oct 28 22:12:40 GMT 2022,0,1426428
Fri Oct 28 22:12:42 GMT 2022,0,1434168
Fri Oct 28 22:12:45 GMT 2022,73,1435009
Fri Oct 28 22:12:48 GMT 2022,73,1420049
Fri Oct 28 22:12:50 GMT 2022,41,1414931
Fri Oct 28 22:12:52 GMT 2022,41,1413827
Fri Oct 28 22:12:54 GMT 2022,41,1416505
Fri Oct 28 22:12:56 GMT 2022,0,1413667
Fri Oct 28 22:12:58 GMT 2022,0,1411823
Fri Oct 28 22:13:00 GMT 2022,0,1414191
Fri Oct 28 22:13:02 GMT 2022,34,1414339
Fri Oct 28 22:13:04 GMT 2022,34,1413175
Fri Oct 28 22:13:05 GMT 2022,34,1413405
Fri Oct 28 22:13:07 GMT 2022,32,1413499
Fri Oct 28 22:13:09 GMT 2022,32,1414115
Fri Oct 28 22:13:11 GMT 2022,32,1415801
Fri Oct 28 22:13:13 GMT 2022,31,1414891
Fri Oct 28 22:13:15 GMT 2022,31,1412811
Fri Oct 28 22:13:17 GMT 2022,31,1414207
Fri Oct 28 22:13:19 GMT 2022,22,1408225
Fri Oct 28 22:13:21 GMT 2022,22,1412353
Fri Oct 28 22:13:23 GMT 2022,22,1414591
Fri Oct 28 22:13:25 GMT 2022,29,1414777
Fri Oct 28 22:13:27 GMT 2022,29,1413049
Fri Oct 28 22:13:29 GMT 2022,29,1415027
Fri Oct 28 22:13:31 GMT 2022,35,1413661
Fri Oct 28 22:13:32 GMT 2022,35,1413803
Fri Oct 28 22:13:34 GMT 2022,35,1411017
Fri Oct 28 22:13:36 GMT 2022,33,1411679
Fri Oct 28 22:13:38 GMT 2022,33,1411162
Fri Oct 28 22:13:40 GMT 2022,33,1399343
