Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
27,4241697,1085763
99,3744758,588824
200,4185173,1029239
303,4997803,1841869
409,3679088,523154
509,4043009,887075
607,4879391,1723457
705,4113391,957457
806,3802606,646672
906,4925071,1769137
1013,4844631,1688697
1110,5654794,2498860
1214,3490654,334720
1310,3759760,603826
1410,4363115,1207181
1516,3930908,774974
1617,3804858,648924
1718,3160352,4418
1813,3707573,551639
1916,3126485,0
2018,3573336,417402
2120,3242587,86653
2223,3325846,169912
2324,3608545,452611
2429,3270720,114786
2525,3127625,0
2616,3226323,70389
2720,2896877,0
2825,2795681,0
2932,3237873,81939
3029,3160434,4500
3126,3438636,282702
3229,3309574,153640
3326,3328971,173037
3437,2579788,0
3534,2251468,0
3631,2251468,0
3738,2110752,0
3829,2138895,0
3935,2099494,0
4032,2003807,0
4129,2015064,0
4231,2060093,0
4341,1970035,0
4463,2251468,0
4533,2420861,0
4640,2420861,0
4752,2364575,0
4871,2420861,0
4946,2251468,0
5047,2251468,0
5148,2251468,0
5252,2251468,0
5348,2251468,0
5452,2200810,0
5556,2251468,0
5660,2251468,0
5745,2138895,0
5853,2206439,0
5956,2251468,0
6053,2195182,0
6160,2251468,0
6249,2122009,0
6353,2138895,0
6464,2155781,0
6555,2251468,0
6653,2127638,0
6753,2195182,0
6861,2195182,0
6957,2251468,0
7087,2251468,0
7168,2251468,0
7265,2251468,0
7364,2251468,0
7479,2251468,0
7589,2195182,0
7681,2251468,0
7773,2251468,0
7905,2251468,0
8026,2251468,0
8099,2251468,0
8191,2251468,0
8284,2200810,0
8383,2251468,0
8479,2251468,0
8577,2251468,0
8677,2200810,0
8789,2251468,0
8873,2138895,0
8978,2251468,0
9034,2155781,0
9142,2195182,0
9254,2251468,0
9330,2127638,0
9437,2251468,0
9546,2200810,0
9645,2127638,0
9757,2138895,0
9846,2082608,0
9939,2195182,0
10043,2195182,0
10140,2195182,0
10241,2138895,0
10344,2195182,0
10451,2127638,0
10541,1908119,0
10640,1919377,0
10758,2127638,0
10848,1806803,0
10947,2138895,0
11053,2251468,0
11152,2088237,0
11262,2251468,0
11354,2444290,0
11447,2500576,0
11556,2178296,0
11655,2251468,0
11762,2195182,0
11855,2251468,0
11957,2251468,0
12064,2251468,0
12154,2251468,0
12263,2200810,0
12371,2099494,0
12472,2200810,0
12575,2251468,0
12675,2251468,0
12772,2251468,0
12858,2251468,0
12967,2144524,0
13067,2183924,0
13168,2144524,0
13269,2195182,0
13371,2195182,0
13468,1881833,0
13574,2851822,0
13666,2649189,0
13768,2474701,0
13871,2210153,0
13969,2615417,0
14070,2626675,0
14168,2671704,0
14268,2232668,0
14370,1754231,0
14470,1821775,0
14578,2744877,0
14669,2908108,0
14776,2908108,0
14881,2851822,0
14973,2908108,0
15085,2908108,0
15177,2908108,0
15283,2857450,0
15380,2908108,0
15489,2795535,0
15579,2688590,0
15684,2666075,0
15783,1945605,0
15880,1692315,0
15977,2440929,0
16076,1078790,0
16180,1151963,0
16276,1529084,0
16406,592202,0
16481,1919377,0
16580,1947520,0
16691,1773031,0
16785,2138895,0
16883,1834947,0
16982,1970035,0
17093,1362138,0
17188,2195182,0
17284,2026321,0
17389,1958777,0
17492,1789917,0
17590,2037579,0
17686,1789917,0
17786,1970035,0
17889,1970035,0
17999,2026321,0
18094,2138895,0
18198,2138895,0
18300,2155781,0
18396,2251468,0
18497,2200810,0
18614,2031950,0
18694,1818061,0
18800,1688601,0
18895,1778660,0
19011,1666086,0
19105,2251468,0
19199,2043207,0
19297,1806803,0
19398,1789917,0
19504,1711116,0
19607,2195182,0
19706,1851833,0
19814,2178296,0
19954,2127638,0
20019,2251468,0
20110,2116380,0
20211,2127638,0
20318,2251468,0
20438,2251468,0
20509,2251468,0
