datetime,cpu,mem
Fri Oct 28 19:42:40 GMT 2022,3.4,1370722
Fri Oct 28 19:42:41 GMT 2022,30,1376849
Fri Oct 28 19:42:43 GMT 2022,30,1331578
Fri Oct 28 19:42:45 GMT 2022,30,1350201
Fri Oct 28 19:42:48 GMT 2022,0.3,1362410
Fri Oct 28 19:42:52 GMT 2022,0.3,1390374
Fri Oct 28 19:42:57 GMT 2022,0.3,1401398
Fri Oct 28 19:43:01 GMT 2022,0.3,1392178
Fri Oct 28 19:43:03 GMT 2022,0,1393285
Fri Oct 28 19:43:06 GMT 2022,0,1391615
Fri Oct 28 19:43:09 GMT 2022,49,1391136
Fri Oct 28 19:43:11 GMT 2022,49,1393567
Fri Oct 28 19:43:14 GMT 2022,82,1379019
Fri Oct 28 19:43:17 GMT 2022,82,1366174
Fri Oct 28 19:43:20 GMT 2022,67,1366151
Fri Oct 28 19:43:23 GMT 2022,67,1363013
Fri Oct 28 19:43:25 GMT 2022,56,1364080
Fri Oct 28 19:43:28 GMT 2022,56,1366919
Fri Oct 28 19:43:31 GMT 2022,71,1361872
Fri Oct 28 19:43:34 GMT 2022,71,1368353
Fri Oct 28 19:43:37 GMT 2022,0.2,1365218
Fri Oct 28 19:43:40 GMT 2022,0.2,1361535
Fri Oct 28 19:43:42 GMT 2022,0,1365888
Fri Oct 28 19:43:45 GMT 2022,0,1368469
Fri Oct 28 19:43:48 GMT 2022,67,1362178
Fri Oct 28 19:43:51 GMT 2022,67,1375065
Fri Oct 28 19:43:54 GMT 2022,63,1349954
