Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
59,3063585,781140
161,3483236,1200791
261,2225145,0
363,2359362,76917
463,1863666,0
563,2311028,28583
670,2272772,0
772,1992999,0
868,1738240,0
965,1778269,0
1066,1692025,0
1173,1418464,0
1273,2211745,0
1376,3228269,945824
1468,3695640,1413195
1572,4805546,2523101
1675,3464419,1181974
1779,3019555,737110
1881,5198265,2915820
1979,3551327,1268882
2080,3546020,1263575
2188,3150412,867967
2283,4118519,1836074
2378,3158383,875938
2479,3731032,1448587
2583,2879798,597353
2683,2667020,384575
2779,2118730,0
2882,2014894,0
2986,1329495,0
3088,1592374,0
3187,1015144,0
3288,1624602,0
3388,1555920,0
3487,1563090,0
3588,2358970,76525
3688,1875555,0
3791,1157413,0
3891,2621245,338800
3992,2771817,489372
4094,2635585,353140
4196,2936729,654284
4295,3137492,855047
4393,2982768,700323
4502,2793328,510883
4596,3309574,1027129
4701,3237873,955428
4795,3452976,1170531
4897,2714457,432012
4993,2485013,202568
5098,2275948,0
5198,2011787,0
5300,2457085,174640
5402,2748189,465744
5502,3004692,722247
5601,2165378,0
5699,1542332,0
5801,1353643,0
5903,1831175,0
6001,1508484,0
6109,849929,0
6208,1227050,0
6305,1497226,0
6408,1744888,0
6513,1570399,0
6626,2099494,0
6707,2003807,0
6808,1913748,0
6913,1874347,0
7035,2195182,0
7117,2155781,0
7217,2088237,0
7323,2251468,0
7423,2183924,0
7515,2082608,0
7634,2031950,0
7723,2003807,0
7829,2116380,0
7929,2183924,0
8044,2144524,0
8136,2183924,0
8230,2195182,0
8347,2251468,0
8428,1964406,0
8531,2275429,0
8638,2292315,9870
8735,2224771,0
8830,2444290,161845
8985,2410518,128073
9043,2427404,144959
9137,2500576,218131
9231,2444290,161845
9334,2388003,105558
9434,2388003,105558
9542,2482853,200408
9640,2285850,3405
9740,2550397,267952
9834,2268964,0
9938,2138895,0
10040,1699858,0
10137,2195182,0
10247,2206439,0
10350,2195182,0
10446,2251468,0
10560,2251468,0
10645,2088237,0
10747,2251468,0
10851,2200810,0
10945,2026321,0
11044,2144524,0
11175,2251468,0
11243,2251468,0
11370,2251468,0
11469,2251468,0
11570,2251468,0
11651,2155781,0
11755,2251468,0
11854,2195182,0
11971,2144524,0
12097,2178296,0
12175,2251468,0
12287,2550397,267952
12371,2550397,267952
12458,2550397,267952
12544,2550397,267952
12638,2550397,267952
12717,2550397,267952
12813,2494111,211666
12924,2426567,144122
13030,2499739,217294
13122,2550397,267952
13225,2477225,194780
13325,2437824,155379
13422,2251468,0
13526,2251468,0
13625,2144524,0
13727,2251468,0
13820,2195182,0
13931,2082608,0
14021,2183924,0
14135,2195182,0
14228,2183924,0
14323,2138895,0
14424,2251468,0
14529,2195182,0
14626,2195182,0
14727,1744888,0
14855,1913748,0
14944,2195182,0
15048,2397131,114686
15144,2560362,277917
15242,2391502,109057
15342,2340844,58399
15448,2492818,210373
15558,2560362,277917
15653,2560362,277917
15758,2340844,58399
15851,2318329,35884
15953,2447789,165344
16059,2401466,119021
16151,2514040,231595
16258,2570326,287881
16350,2429610,147165
16457,2514040,231595
16552,2401466,119021
16650,2457753,175308
16756,2514040,231595
16862,2457753,175308
16956,2514040,231595
17062,2519668,237223
17156,2300150,17705
17257,2009435,0
17360,2026321,0
17460,2031950,0
17558,2251468,0
17664,1834947,0
17761,1953149,0
17868,1829318,0
17961,1711116,0
18061,1874347,0
18170,1964406,0
18262,1919377,0
18376,1480340,0
18467,2107026,0
18568,2129540,0
18669,2107026,0
18769,2028224,0
18868,2157684,0
18978,2050739,0
19071,2073254,0
19172,2022595,0
19271,2112654,0
19383,2061996,0
19479,2460796,178351
19576,2156848,0
19678,2235649,0
19780,2151219,0
19882,2094932,0
19981,2252535,0
20082,2010502,0
20181,1712182,0
20277,1661524,0
20380,1474712,0
20482,1367767,0
20585,1435311,0
20682,1806803,0
20785,1829318,0
20885,1823689,0
20987,1699858,0
21084,1952922,0
21187,1896635,0
21285,2149926,0
21395,2048609,0
21442,2071124,0
21544,2161183,0
21639,2138668,0
21744,2065495,0
21841,1868492,0
21944,2031723,0
22045,2011338,0
22147,1994452,0
22244,1949423,0
22355,1921279,0
22450,2259000,0
22549,1786191,0
22651,2005709,0
22750,1893136,0
22851,2011338,0
22956,2067625,0
23053,1959387,0
23157,2100104,0
23255,2223934,0
23357,1852442,0
23457,2128247,0
23554,1886214,0
23655,1897471,0
23755,1807413,0
23859,1519741,0
23956,1294594,0
24057,1418425,0
24158,1384653,0
24257,1159506,0
24358,1356509,0
24461,1469083,0
24562,1277708,0
24661,1322737,0
24762,1328366,0
24863,1418425,0
24967,1317109,0
25066,1469083,0
25171,1390281,0
25268,1660458,0
25371,1604171,0
25468,1834947,0
25568,1823689,0
25670,1834947,0
25772,2024345,0
25875,1962430,0
25974,2215720,0
26073,2007459,0
26177,1990573,0
26277,2165062,0
26383,2198834,0
26474,2125661,0
26574,1928658,0
26674,1911772,0
26778,1997495,0
26876,2003124,0
26978,2031267,0
27077,1963723,0
27179,1693547,0
27284,1665403,0
27378,1654829,0
27479,1435311,0
27581,1322737,0
27684,1305851,0
27784,1390281,0
27881,1367767,0
27982,1182021,0
28082,1570399,0
28182,1339623,0
28283,1446568,0
28386,1350881,0
28487,1407168,0
28589,1339623,0
28688,1384653,0
28786,1474712,0
28890,1688601,0
28986,1705487,0
29089,1879976,0
29194,1750516,0
29292,1851833,0
29392,1784289,0
29491,1857461,0
29589,2078046,0
29700,1948587,0
29796,1987987,0
29898,2089303,0
29998,2066789,0
30101,2089303,0
30202,1959844,0
30297,1847271,0
30398,1954215,0
30504,2004873,0
30599,1796155,0
30700,1784898,0
30800,1807413,0
30904,1120105,0
31005,1407168,0
31105,1463454,0
31207,1418425,0
31306,1446568,0
31405,1356509,0
31508,1469083,0
31611,1328366,0
31713,1851833,0
31813,2076979,0
31907,2071351,0
32008,1756145,0
32110,1125734,0
32210,1210164,0
32320,1294594,0
32410,1789917,0
32513,1615428,0
32618,1547884,0
32715,1705487,0
32815,1637943,0
32916,1609800,0
33015,1834947,0
33118,1570399,0
33219,1711116,0
33320,2000994,0
33418,1871535,0
33519,1899678,0
33619,1888421,0
33722,1944708,0
33826,1944708,0
33924,2051652,0
34026,2079796,0
34120,1629502,0
34221,1516929,0
34322,1511300,0
34423,1210164,0
34526,1260822,0
34626,1305851,0
34725,1182021,0
34825,1238307,0
34927,1193278,0
35028,1136991,0
35128,1136991,0
35178,1182021,0
35282,1317109,0
35382,1148249,0
35485,1221421,0
35580,1210164,0
35687,1131363,0
35782,1182021,0
35890,1559142,0
35980,1425911,0
36081,1695022,0
36182,1785083,0
36283,1658434,0
36384,1655628,0
36487,1741779,0
36584,1742292,0
36685,1677198,0
36786,1688455,0
36888,1900467,0
36986,1933771,0
37087,1907029,0
37188,1838552,0
37289,1903285,0
37389,1709092,0
37490,1849809,0
37589,1379818,0
37690,1322592,0
37791,1337600,0
37903,579021,0
37998,1159506,0
38099,1165135,0
38199,1080705,0
38300,1272079,0
38402,1153877,0
38504,1260822,0
38601,1108848,0
38702,1311480,0
38803,1238307,0
