datetime,cpu,mem
Fri Oct 28 19:04:29 GMT 2022,45,1268822
Fri Oct 28 19:04:31 GMT 2022,0.2,1390812
Fri Oct 28 19:04:33 GMT 2022,0.2,1245072
Fri Oct 28 19:04:35 GMT 2022,0.2,1316960
Fri Oct 28 19:04:40 GMT 2022,0.2,1312178
Fri Oct 28 19:04:46 GMT 2022,97,1311047
Fri Oct 28 19:04:50 GMT 2022,97,1313373
Fri Oct 28 19:04:53 GMT 2022,89,1308318
Fri Oct 28 19:04:56 GMT 2022,89,1311137
Fri Oct 28 19:05:00 GMT 2022,82,1308014
Fri Oct 28 19:05:03 GMT 2022,82,1309029
Fri Oct 28 19:05:07 GMT 2022,81,1308816
Fri Oct 28 19:05:10 GMT 2022,81,1309017
Fri Oct 28 19:05:14 GMT 2022,81,1307394
Fri Oct 28 19:05:17 GMT 2022,81,1310215
Fri Oct 28 19:05:21 GMT 2022,81,1308114
Fri Oct 28 19:05:24 GMT 2022,81,1308591
Fri Oct 28 19:05:28 GMT 2022,81,1311906
Fri Oct 28 19:05:31 GMT 2022,81,1312583
Fri Oct 28 19:05:35 GMT 2022,83,1311164
Fri Oct 28 19:05:39 GMT 2022,83,1305563
Fri Oct 28 19:05:42 GMT 2022,82,1293485
