Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
9,1873904,0
91,2543531,257592
193,2481616,195677
291,2844041,558102
391,2813918,527979
493,2791098,505159
593,3519600,1233661
689,3652666,1366727
797,3140286,854347
896,1892262,0
999,2472344,186405
1095,2779235,493296
1198,1921129,0
1299,2721095,435156
1399,2392784,106845
1502,2613210,327271
1603,3092564,806625
1696,3341823,1055884
1802,2693070,407131
1901,3869401,1583462
2005,3518674,1232735
2097,2738107,452168
2197,2148558,0
2297,2804958,519019
2398,2890303,604364
2498,2080898,0
2600,1518289,0
2699,1847765,0
2800,2147457,0
2909,2028788,0
3006,2308942,23003
3110,2234473,0
3208,2831328,545389
3312,3166172,880233
3412,3202023,916084
3515,2975598,689659
3614,3381275,1095336
3706,2908049,622110
3813,3381275,1095336
3911,3166172,880233
4011,2301610,15671
4115,1854045,0
4212,2234060,0
4312,1839705,0
4414,1839705,0
4515,2040468,0
4616,2133679,0
4716,1904236,0
4820,2814838,528899
4917,3438636,1152697
5021,2972580,686641
5116,2198210,0
5217,2090658,0
5318,2514446,228507
5418,1800455,0
5517,2061978,0
5621,1459161,0
5719,1978955,0
5822,2262741,0
5920,1821213,0
6024,1853690,0
6159,1632314,0
6225,2251468,0
6328,2127638,0
6432,1846204,0
6528,1756145,0
6633,1739259,0
6738,1857461,0
6834,2138895,0
6931,2037579,0
7031,1547884,0
7132,1925005,0
7234,2122009,0
7330,2116380,0
7437,2088237,0
7531,1823689,0
7641,2127638,0
7736,1812432,0
7831,1981292,0
7932,1975663,0
8045,2200810,0
8135,2138895,0
8247,2251468,0
8345,2251468,0
8442,2251468,0
8538,2195182,0
8650,2195182,0
8741,2251468,0
8846,2195182,0
8941,2195182,0
9042,2138895,0
9145,2183924,0
9245,2195182,0
9357,2076979,0
9452,2251468,0
9550,2200810,0
9645,2195182,0
9754,2251468,0
9848,2251468,0
9958,2942683,656744
10049,3498470,1212531
10146,4280436,1994497
10245,3931458,1645519
10351,3790741,1504802
10458,3982116,1696177
10564,4280436,1994497
10655,3809904,1523965
10764,4015888,1729949
10856,4224149,1938210
10973,5469880,3183941
11058,4731950,2446011
11177,4681292,2395353
11262,4675664,2389725
11359,4731950,2446011
11473,4625006,2339067
11565,4625006,2339067
11661,4675664,2389725
11756,4281657,1995718
11856,4315429,2029490
11964,2772586,486647
12058,2947075,661136
12159,2862645,576706
12265,3177850,891911
12357,2710671,424732
12474,3110306,824367
12560,3273538,987599
12667,2845759,559820
12762,2930189,644250
12864,2660013,374074
12963,1418425,0
13064,1457826,0
13166,1576028,0
13268,1739259,0
13369,1682972,0
13470,1699858,0
13571,1728002,0
13675,1885605,0
13771,1789917,0
13870,1643572,0
13969,2999805,713866
14070,3438841,1152902
14174,3421955,1136016
14276,3506385,1220446
14376,3686503,1400564
14475,3095492,809553
14577,3489499,1203560
14675,3534528,1248589
14781,3483870,1197931
14878,3551414,1265475
14976,4059842,1773903
15083,3930179,1644240
15179,4054855,1768916
15281,4004985,1719046
15381,4044881,1758942
15481,4164569,1878630
15583,3895270,1609331
15682,4034907,1748968
15783,4249348,1963409
15889,4199478,1913539
15983,1427551,0
16084,1412590,0
16135,1482408,0
16239,1502356,0
16337,1402616,0
16437,1407603,0
16537,1407603,0
16637,1337784,0
16745,1661940,0
16841,1661940,0
16943,1646552,0
17044,1988836,0
17148,2095781,0
17250,2287156,1217
17343,2175567,0
17446,2023593,0
17545,2124909,0
17646,2203711,0
17751,2005722,0
17850,2180211,0
17949,2186825,0
18050,4299164,2013225
18151,4040246,1754307
18255,4372337,2086398
18355,4327308,2041369
18449,3955815,1669876
18551,3938929,1652990
18652,4040246,1754307
18753,3989588,1703649
18853,4028988,1743049
18954,3826356,1540417
19056,2412694,126755
19157,2841577,555638
19258,2691966,406027
19363,2846564,560625
19459,2771759,485820
